Region,Comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,Tasa
Metropolitana,Lo Espejo,103865,4,7,9,15,23,22.1
Metropolitana,Lo Prado,104403,14,18,20,25,32,30.7
Metropolitana,Macul,134635,10,15,23,34,37,27.5
Metropolitana,Maipu,578605,43,55,64,83,106,18.3
Metropolitana,Maria Pinto,14926,-,-,-,-,-,0.0
Metropolitana,Melipilla,141612,6,8,9,11,12,8.5
Metropolitana,Nunoa,250192,67,84,93,107,118,47.2
Metropolitana,Padre Hurtado,74188,10,11,14,16,18,24.3
Metropolitana,Paine,82766,-,-,-,-,-,3.6
Metropolitana,Pedro Aguirre Cerda,107803,7,13,13,16,19,17.6
Metropolitana,Penaflor,101058,10,13,13,18,18,17.8
Metropolitana,Penalolen,266798,31,46,54,65,78,29.2
Metropolitana,Pirque,30433,-,-,-,4,4,13.1
Metropolitana,Providencia,157749,82,87,94,104,115,72.9
Metropolitana,Pudahuel,253139,17,25,32,44,52,20.5
Metropolitana,Puente Alto,645909,45,58,76,119,166,25.7
Metropolitana,Quilicura,254694,17,29,33,51,57,22.4
Metropolitana,Quinta Normal,136368,21,25,35,41,57,41.8
Metropolitana,Recoleta,190075,17,23,32,44,52,27.4
Metropolitana,Renca,160847,9,14,18,19,22,13.7
Metropolitana,San Bernardo,334836,32,41,53,74,79,23.6
Metropolitana,San Joaquin,103485,13,24,28,36,42,40.6
Metropolitana,San Jose de Maipo,18644,-,-,-,-,-,16.1
Metropolitana,San Miguel,133059,25,32,39,49,56,42.1
Metropolitana,San Pedro,11953,-,-,-,-,-,0.0
Metropolitana,San Ramon,86510,-,6,9,9,12,13.9
Metropolitana,Santiago,503147,127,156,173,234,271,53.9
Metropolitana,Talagante,81838,-,5,6,11,14,17.1
Metropolitana,Tiltil,21477,-,-,-,-,4,18.6
Metropolitana,Vitacura,96774,83,90,100,114,114,117.8
Del Libertador General Bernardo OHiggins,Chepica,15925,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Chimbarongo,37696,-,-,-,-,-,5.3
Del Libertador General Bernardo OHiggins,Codegua,14096,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Coinco,7831,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Coltauco,21263,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Donihue,22700,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Graneros,36504,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,La Estrella,3114,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Las Cabras,26749,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Litueche,6765,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Lolol,7289,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Machali,59913,-,6,7,8,8,13.4
Del Libertador General Bernardo OHiggins,Malloa,14163,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Marchihue,7632,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Mostazal,27462,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Nancagua,19141,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Navidad,6904,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Olivar,14624,-,-,-,-,-,13.7
Del Libertador General Bernardo OHiggins,Palmilla,13299,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Paredones,6349,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Peralillo,11848,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Peumo,14952,-,-,-,-,-,6.7
Del Libertador General Bernardo OHiggins,Pichidegua,20743,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Pichilemu,17882,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Placilla,9164,-,-,-,-,-,10.9
Del Libertador General Bernardo OHiggins,Pumanque,3531,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,Quinta de Tilcoco,13877,-,-,-,-,-,14.4
Del Libertador General Bernardo OHiggins,Rancagua,265211,7,7,9,15,15,5.7
Del Libertador General Bernardo OHiggins,Rengo,63710,-,-,-,-,-,1.6
Del Libertador General Bernardo OHiggins,Requinoa,30371,-,-,-,-,-,3.3
Del Libertador General Bernardo OHiggins,San Fernando,78642,-,4,4,4,4,5.1
Del Libertador General Bernardo OHiggins,San Vicente,50617,-,-,4,4,4,7.9
Del Libertador General Bernardo OHiggins,Santa Cruz,41096,-,0,-,-,-,4.9
Maule,Cauquenes,44143,-,-,-,4,4,9.1
Maule,Chanco,9331,-,-,-,-,-,0.0
Maule,Colbun,22565,-,4,4,5,5,22.2
Maule,Constitucion,50348,-,-,-,-,5,9.9
Maule,Curepto,9426,-,-,-,-,-,21.2
Maule,Curico,163626,6,8,11,13,13,7.9
Maule,Empedrado,4206,-,-,-,-,-,0.0
Maule,Hualane,10222,-,-,-,-,-,0.0
Maule,Licanten,6989,-,-,-,-,-,0.0
Maule,Linares,101073,4,6,10,11,12,11.9
Maule,Longavi,32810,-,-,-,-,-,6.1
Maule,Maule,60000,-,-,-,-,-,5.0
Maule,Molina,49800,-,-,-,-,-,6.0
Maule,Parral,44544,4,-,-,-,4,9.0
Maule,Pelarco,9083,-,-,-,-,-,0.0
Maule,Pelluhue,8092,-,-,-,-,-,12.4
Maule,Pencahue,8601,-,-,-,-,-,0.0
Maule,Rauco,11248,-,-,-,-,-,8.9
Maule,Retiro,21071,-,-,-,-,-,0.0
Maule,Rio Claro,14753,-,-,-,-,-,13.6
