Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,Tasa
Coquimbo,04,Paiguano,04105,4675,-,-,-,-,-,-,-,-,0.0
Coquimbo,04,Punitaqui,04304,12165,-,-,-,-,-,-,-,-,0.0
Coquimbo,04,Rio Hurtado,04305,4372,-,-,-,-,-,-,1,1,22.9
Coquimbo,04,Salamanca,04204,29110,-,-,-,4,4,5,6,6,20.6
Coquimbo,04,Vicuna,04106,29741,-,-,-,-,-,-,-,-,0.0
Coquimbo,04,Total,,836096,27,30,35,51,56,61,66,66,7.9
,,,,,,,,,,,,,
Valparaiso,05,Algarrobo,05602,15174,7,7,9,9,8,8,8,9,59.3
Valparaiso,05,Cabildo,05402,20663,-,-,-,-,-,-,-,-,0.0
Valparaiso,05,Calera,05502,53591,6,6,7,7,9,9,9,11,20.5
Valparaiso,05,Calle Larga,05302,16482,-,-,-,-,-,-,2,2,12.1
Valparaiso,05,Cartagena,05603,25357,-,-,-,-,-,-,2,2,7.9
Valparaiso,05,Casablanca,05102,29170,-,-,-,-,-,-,3,3,10.3
Valparaiso,05,Catemu,05702,15213,-,-,-,-,-,-,-,-,0.0
Valparaiso,05,Concon,05103,45889,-,-,7,7,-,-,6,7,15.3
Valparaiso,05,El Quisco,05604,17742,-,-,-,-,-,-,3,4,22.5
Valparaiso,05,El Tabo,05605,14338,-,-,-,-,-,-,2,3,20.9
Valparaiso,05,Hijuelas,05503,19099,-,-,-,-,-,-,-,-,0.0
Valparaiso,05,Isla de Pascua,05201,8277,-,5,5,5,5,6,6,6,72.5
Valparaiso,05,Juan Fernandez,05104,1033,-,-,-,-,-,-,-,-,0.0
Valparaiso,05,La Cruz,05504,25321,-,-,-,-,-,-,5,5,19.7
Valparaiso,05,La Ligua,05401,37739,-,-,-,-,-,-,2,2,5.3
Valparaiso,05,Limache,05802,49931,-,-,-,4,5,7,8,13,26.0
Valparaiso,05,Llaillay,05703,26533,-,-,-,-,-,-,2,2,7.5
Valparaiso,05,Los Andes,05301,68093,-,-,-,-,6,6,6,7,10.3
Valparaiso,05,Nogales,05506,23490,-,-,-,-,-,-,-,-,0.0
Valparaiso,05,Olmue,05803,19266,-,-,-,-,-,-,1,1,5.2
Valparaiso,05,Panquehue,05704,7633,-,-,-,-,-,-,-,-,0.0
Valparaiso,05,Papudo,05403,6201,-,-,-,-,-,-,-,-,0.0
Valparaiso,05,Petorca,05404,10558,-,-,-,5,4,5,6,6,56.8
Valparaiso,05,Puchuncavi,05105,20071,-,-,-,-,-,-,-,-,0.0
Valparaiso,05,Putaendo,05705,17645,-,-,-,-,-,-,1,2,11.3
Valparaiso,05,Quillota,05501,97572,6,7,9,9,13,13,16,18,18.4
Valparaiso,05,Quilpue,05801,167085,11,10,11,12,15,18,20,21,12.6
Valparaiso,05,Quintero,05107,36135,-,-,-,-,-,4,5,4,11.1
Valparaiso,05,Rinconada,05303,11263,-,-,-,-,-,-,2,2,17.8
Valparaiso,05,San Antonio,05601,96761,-,4,8,9,9,13,17,19,19.6
Valparaiso,05,San Esteban,05304,20643,-,-,-,-,-,-,-,-,0.0
Valparaiso,05,San Felipe,05701,83494,-,-,5,5,6,6,6,6,7.2
Valparaiso,05,Santa Maria,05706,16367,-,-,-,-,-,-,2,2,12.2
Valparaiso,05,Santo Domingo,05606,11934,,-,-,-,5,5,5,10,83.8
Valparaiso,05,Valparaiso,05101,315732,16,26,23,26,36,39,44,45,14.3
Valparaiso,05,Villa Alemana,05804,139310,6,8,11,11,12,12,12,12,8.6
Valparaiso,05,Vina del Mar,05109,361371,29,38,47,53,66,69,72,75,20.8
Valparaiso,05,Zapallar,05405,7994,-,0,-,-,-,-,-,-,0.0
Valparaiso,05,Total,,1960170,102,136,176,198,225,241,273,299,15.3
,,,,,,,,,,,,,
Metropolitana,13,Alhue,13502,7405,-,-,-,-,-,-,-,-,0.0
Metropolitana,13,Buin,13402,109641,7,8,14,20,20,29,36,40,36.5
Metropolitana,13,Calera de Tango,13403,28525,6,7,7,7,8,8,10,10,35.1
Metropolitana,13,Cerrillos,13102,88956,-,4,4,5,11,21,29,39,43.8
Metropolitana,13,Cerro Navia,13103,142465,19,21,26,31,36,42,57,65,45.6
Metropolitana,13,Colina,13301,180353,32,39,47,50,62,66,74,77,42.7
Metropolitana,13,Conchali,13104,139195,14,18,22,32,38,47,52,56,40.2
Metropolitana,13,Curacavi,13503,36430,5,5,5,8,9,10,13,14,38.4
Metropolitana,13,El Bosque,13105,172000,18,28,35,37,46,64,83,93,54.1
Metropolitana,13,El Monte,13602,40014,-,-,-,5,7,9,10,10,25.0
Metropolitana,13,Estacion Central,13106,206792,16,22,25,36,41,61,71,89,43.0
Metropolitana,13,Huechuraba,13107,112528,17,19,22,32,35,38,48,53,47.1
Metropolitana,13,Independencia,13108,142065,15,17,22,26,31,37,52,60,42.2
Metropolitana,13,Isla de Maipo,13603,40171,-,-,-,4,7,10,10,11,27.4
Metropolitana,13,La Cisterna,13109,100434,10,12,12,20,26,34,39,45,44.8
Metropolitana,13,La Florida,13110,402433,43,58,67,91,103,126,165,176,43.7
Metropolitana,13,La Granja,13111,122557,5,8,16,24,26,36,46,51,41.6
Metropolitana,13,La Pintana,13112,189335,-,10,13,18,25,39,55,70,37.0
Metropolitana,13,La Reina,13113,100252,24,26,30,35,44,52,54,56,55.9
Metropolitana,13,Lampa,13302,126898,10,10,13,14,18,26,37,41,32.3
Metropolitana,13,Las Condes,13114,330759,181,208,224,258,266,281,296,306,92.5
Metropolitana,13,Lo Barnechea,13115,124076,68,78,85,97,105,110,116,125,100.7
Metropolitana,13,Lo Espejo,13116,103865,4,7,9,15,23,34,48,56,53.9
Metropolitana,13,Lo Prado,13117,104403,14,18,20,25,32,35,43,47,45.0
Metropolitana,13,Macul,13118,134635,10,15,23,34,37,43,49,51,37.9
Metropolitana,13,Maipu,13119,578605,43,55,64,83,106,167,203,241,41.7
Metropolitana,13,Maria Pinto,13504,14926,-,-,-,-,-,-,-,-,0.0
Metropolitana,13,Melipilla,13501,141612,6,8,9,11,12,16,17,19,13.4
Metropolitana,13,Nunoa,13120,250192,67,84,93,107,118,155,171,188,75.1
Metropolitana,13,Padre Hurtado,13604,74188,10,11,14,16,18,20,26,27,36.4
Metropolitana,13,Paine,13404,82766,-,-,-,-,-,7,8,9,10.9
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,7,13,13,16,19,36,54,70,64.9
Metropolitana,13,Penaflor,13605,101058,10,13,13,18,18,20,25,26,25.7
Metropolitana,13,Penalolen,13122,266798,31,46,54,65,78,98,131,137,51.3
Metropolitana,13,Pirque,13202,30433,-,-,-,4,4,9,10,12,39.4
Metropolitana,13,Providencia,13123,157749,82,87,94,104,115,129,136,147,93.2
Metropolitana,13,Pudahuel,13124,253139,17,25,32,44,52,67,78,88,34.8
Metropolitana,13,Puente Alto,13201,645909,45,58,76,119,166,239,322,374,57.9
