Grupo de edad,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16
<=39,2,2,3,3,3,3,3,3
40-49,1,2,2,2,2,2,2,2
50-59,1,2,2,3,3,5,5,6
60-69,9,10,12,12,12,12,12,14
70-79,21,22,24,28,29,30,31,32
80-89,19,21,24,25,26,32,33,38
>=90,4,6,6,7,7,8,8,10
