Grupo de edad,fecha,Casos confirmados
>=70,2020-05-19,182
<=39,2020-05-20,111
40-49,2020-05-20,117
50-59,2020-05-20,233
60-69,2020-05-20,256
>=70,2020-05-20,187
<=39,2020-05-21,120
40-49,2020-05-21,117
50-59,2020-05-21,247
60-69,2020-05-21,266
>=70,2020-05-21,193
<=39,2020-05-22,128
40-49,2020-05-22,121
50-59,2020-05-22,256
60-69,2020-05-22,288
>=70,2020-05-22,193
<=39,2020-05-23,132
40-49,2020-05-23,127
50-59,2020-05-23,280
60-69,2020-05-23,318
>=70,2020-05-23,205
<=39,2020-05-24,131
40-49,2020-05-24,123
50-59,2020-05-24,292
60-69,2020-05-24,331
>=70,2020-05-24,213
<=39,2020-05-25,136
40-49,2020-05-25,128
50-59,2020-05-25,307
60-69,2020-05-25,345
>=70,2020-05-25,219
<=39,2020-05-26,137
40-49,2020-05-26,141
50-59,2020-05-26,336
60-69,2020-05-26,357
>=70,2020-05-26,231
