Region,Codigo region,Comuna,Codigo comuna,Nacimientos,Fecha
Tarapacá,1,Iquique,1101,23,2020-01-02
Tarapacá,1,Iquique,1101,21,2020-01-03
Tarapacá,1,Iquique,1101,24,2020-01-06
Tarapacá,1,Iquique,1101,17,2020-01-07
Tarapacá,1,Iquique,1101,20,2020-01-08
Tarapacá,1,Iquique,1101,14,2020-01-09
Tarapacá,1,Iquique,1101,16,2020-01-10
Tarapacá,1,Iquique,1101,27,2020-01-13
Tarapacá,1,Iquique,1101,12,2020-01-14
Tarapacá,1,Iquique,1101,14,2020-01-15
