Region,Codigo region,Comuna,Codigo comuna,Superficie_km2
Maule,7,Rauco,7305,309
Maule,7,Romeral,7306,1597
Maule,7,Sagrada Familia,7307,548.8
Maule,7,Teno,7308,618.4
Maule,7,Vichuquén,7309,426
Maule,7,Linares,7401,1466
Maule,7,Colbún,7402,2899.9
Maule,7,Longaví,7403,1454
Maule,7,Parral,7404,1638
Maule,7,Retiro,7405,827
Maule,7,San Javier,7406,1313
Maule,7,Villa Alegre,7407,190
Maule,7,Yerbas Buenas,7408,262
Ñuble,16,Chillán,16101,511.2
Ñuble,16,Bulnes,16102,425.4
Ñuble,16,Chillán Viejo,16103,291.8
Ñuble,16,El Carmen,16104,664.3
Ñuble,16,Pemuco,16105,562.7
Ñuble,16,Pinto,16106,1164
Ñuble,16,Quillón,16107,423
Ñuble,16,San Ignacio,16108,363.6
Ñuble,16,Yungay,16109,823.5
Ñuble,16,Quirihue,16201,589
Ñuble,16,Cobquecura,16202,570.3
Ñuble,16,Coelemu,16203,342.3
Ñuble,16,Ninhue,16204,401.2
Ñuble,16,Portezuelo,16205,282.3
Ñuble,16,Ranquil,16206,248.3
Ñuble,16,Treguaco,16207,313.1
Ñuble,16,San Carlos,16301,874
Ñuble,16,Coihueco,16302,1776.6
Ñuble,16,Ñiquén,16303,493.1
Ñuble,16,San Fabián,16304,1568.3
Ñuble,16,San Nicolás,16305,490.5
Biobío,8,Concepción,8101,221.6
Biobío,8,Coronel,8102,279.4
Biobío,8,Chiguayante,8103,71.5
Biobío,8,Florida,8104,608.6
Biobío,8,Hualqui,8105,530.5
Biobío,8,Lota,8106,135.8
Biobío,8,Penco,8107,107.6
Biobío,8,San Pedro de la Paz,8108,112.5
Biobío,8,Santa Juana,8109,731.2
Biobío,8,Talcahuano,8110,92.3
Biobío,8,Tomé,8111,494.5
Biobío,8,Hualpén,8112,53.5
Biobío,8,Lebu,8201,561.4
Biobío,8,Arauco,8202,956.1
Biobío,8,Cañete,8203,1089.2
Biobío,8,Contulmo,8204,638.8
Biobío,8,Curanilahue,8205,994.3
Biobío,8,Los Alamos,8206,599.1
Biobío,8,Tirúa,8207,624.4
Biobío,8,Los Angeles,8301,1748.2
Biobío,8,Antuco,8302,1884.1
Biobío,8,Cabrero,8303,639.8
Biobío,8,Laja,8304,339.8
Biobío,8,Mulchén,8305,1925.3
Biobío,8,Nacimiento,8306,934.9
Biobío,8,Negrete,8307,156.5
Biobío,8,Quilaco,8308,1123.7
Biobío,8,Quilleco,8309,1121.8
Biobío,8,San Rosendo,8310,92.4
Biobío,8,Santa Bárbara,8311,1254.9
Biobío,8,Tucapel,8312,914.9
Biobío,8,Yumbel,8313,727
Biobío,8,Alto Biobío,8314,2124.6
La Araucanía,9,Temuco,9101,464
La Araucanía,9,Carahue,9102,1340.6
La Araucanía,9,Cunco,9103,1906.5
La Araucanía,9,Curarrehue,9104,1170.7
La Araucanía,9,Freire,9105,935.2
La Araucanía,9,Galvarino,9106,568.2
La Araucanía,9,Gorbea,9107,694.5
La Araucanía,9,Lautaro,9108,901.1
La Araucanía,9,Loncoche,9109,976.8
La Araucanía,9,Melipeuco,9110,1107.3
La Araucanía,9,Nueva Imperial,9111,732.5
La Araucanía,9,Padre Las Casas,9112,400.7
La Araucanía,9,Perquenco,9113,330.7
