Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Total
2020-05-15,5,97,54,3,15,99,2060,28,21,36,41,28,5,8,0,2,2502
2020-05-16,9,66,98,3,7,53,1518,6,11,36,38,23,0,3,0,15,1886
2020-05-17,1,130,76,3,7,109,1890,37,22,21,25,19,1,3,0,9,2353
2020-05-18,20,81,84,8,18,79,1767,52,29,43,45,33,4,5,0,10,2278
2020-05-19,24,53,59,1,27,86,3140,24,38,3,28,27,5,4,0,1,3520
2020-05-20,2,30,83,5,24,131,3588,13,40,23,52,14,18,10,0,5,4038
2020-05-21,29,107,47,5,5,117,3462,10,51,9,39,35,11,27,0,10,3964
2020-05-22,18,147,63,7,13,133,3709,27,51,5,48,22,4,24,0,5,4276
2020-05-23,11,78,56,7,13,96,3049,26,41,52,43,37,12,10,0,5,3536
2020-05-24,16,93,50,0,29,114,3145,36,69,25,60,34,16,9,0,13,3709
2020-05-25,15,66,68,3,15,75,4386,34,61,37,44,49,7,27,2,6,4895
