Fecha,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13
Recuperados,1.0,3.0,4.0,5.0,6.0,8.0,11.0,17.0,22.0,33.0,43.0,61.0,75.0,156.0,201.0,234.0,335.0,427.0,528.0,617.0,728.0,898.0,1115.0,1274,1571,1864,2059,2367
Fallecidos,,,,,,,,,,,,,,,,,,,,,,,,57,65,73,80,82
