Region,Nuevos Casos,Casos Confirmados,Fallecidos,Fecha,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,%Total,Casosnuevossinsintomas,Tasa*100000,Incrementodiario,Region ID,Poblacion,Tasa
Maule,4.0,354.0,11,2020/04/26,,,,,,,,,7,1131939,31.273770052979888
Ñuble,6.0,731.0,14,2020/04/26,,,,,,,,,16,511551,142.89875300800898
Biobío,7.0,703.0,6,2020/04/26,,,,,,,,,8,1663696,42.25531587501563
Araucanía,13.0,1216.0,29,2020/04/26,,,,,,,,,9,1014343,119.8805532250925
Los Ríos,1.0,178.0,3,2020/04/26,,,,,,,,,14,405835,43.860189485874805
Los Lagos,8.0,473.0,8,2020/04/26,,,,,,,,,10,891440,53.06021717670286
Aysén,0.0,7.0,0,2020/04/26,,,,,,,,,11,107297,6.523947547461719
Magallanes,13.0,668.0,9,2020/04/26,,,,,,,,,12,178362,374.51923616016865
Arica y Parinacota,9.0,170.0,2,2020/04/21,,,,,,,,,15,252110,67.43088334457181
Tarapacá,11.0,104.0,0,2020/04/21,,,,,,,,,1,382773,27.170150454708143
Antofagasta,28.0,291.0,1,2020/04/21,,,,,,,,,2,691854,42.060897241325485
Atacama,0.0,13.0,0,2020/04/21,,,,,,,,,3,314709,4.130800199549425
Coquimbo,0.0,69.0,0,2020/04/21,,,,,,,,,4,836096,8.252640845070422
Valparaíso,15.0,403.0,6,2020/04/21,,,,,,,,,5,1960170,20.559441272950814
Metropolitana,145.0,5788.0,69,2020/04/21,,,,,,,,,13,8125072,71.23629181378331
O’Higgins,1.0,57.0,1,2020/04/21,,,,,,,,,6,991063,5.7514002641608055
Maule,12.0,316.0,10,2020/04/21,,,,,,,,,7,1131939,27.916698691360576
Ñuble,7.0,694.0,13,2020/04/21,,,,,,,,,16,511551,135.66584758899896
Biobío,10.0,636.0,4,2020/04/21,,,,,,,,,8,1663696,38.228137832873315
Araucanía,47.0,1092.0,25,2020/04/21,,,,,,,,,9,1014343,107.65589154753373
Los Ríos,5.0,167.0,3,2020/04/21,,,,,,,,,14,405835,41.1497283378713
Los Lagos,8.0,432.0,6,2020/04/21,,,,,,,,,10,891440,48.46091716772862
Aysén,0.0,7.0,0,2020/04/21,,,,,,,,,11,107297,6.523947547461719
Magallanes,27.0,593.0,7,2020/04/21,,,,,,,,,12,178362,332.46992072302396
Arica y Parinacota,0.0,0.0,0,2020/03/17,,,,,,,,,15,252110,0.0
Tarapacá,0.0,0.0,0,2020/03/17,,,,,,,,,1,382773,0.0
Antofagasta,0.0,2.0,0,2020/03/17,,,,,,,,,2,691854,0.2890783315555016
Atacama,0.0,1.0,0,2020/03/17,,,,,,,,,3,314709,0.3177538615038019
Coquimbo,0.0,0.0,0,2020/03/17,,,,,,,,,4,836096,0.0
Valparaíso,0.0,1.0,0,2020/03/17,,,,,,,,,5,1960170,0.05101598330757026
Metropolitana,29.0,152.0,0,2020/03/17,,,,,,,,,13,8125072,1.8707526530226442
O’Higgins,0.0,0.0,0,2020/03/17,,,,,,,,,6,991063,0.0
Maule,0.0,9.0,0,2020/03/17,,,,,,,,,7,1131939,0.7950958488045735
Ñuble,14.0,26.0,0,2020/03/17,,,,,,,,,16,511551,5.082582186331373
Biobío,0.0,4.0,0,2020/03/17,,,,,,,,,8,1663696,0.24042853982939189
Araucanía,0.0,1.0,0,2020/03/17,,,,,,,,,9,1014343,0.09858598127063527
Los Ríos,0.0,1.0,0,2020/03/17,,,,,,,,,14,405835,0.24640555890940902
Los Lagos,0.0,1.0,0,2020/03/17,,,,,,,,,10,891440,0.1121780489993718
Aysén,0.0,1.0,0,2020/03/17,,,,,,,,,11,107297,0.9319925067802455
Magallanes,2.0,2.0,0,2020/03/17,,,,,,,,,12,178362,1.1213150783238583
Arica y Parinacota,,,7,2020/05/21,453.0,29.0,21.0,8.0,0.79%,,,,15,252110,
Tarapacá,,,4,2020/05/21,1246.0,107.0,99.0,8.0,2.16%,,,,1,382773,
Antofagasta,,,17,2020/05/21,1778.0,47.0,35.0,12.0,3.09%,,,,2,691854,
Atacama,,,0,2020/05/21,168.0,5.0,3.0,2.0,0.29%,,,,3,314709,
Coquimbo,,,2,2020/05/21,268.0,5.0,2.0,3.0,0.47%,,,,4,836096,
Valparaíso,,,38,2020/05/21,1887.0,117.0,101.0,16.0,3.28%,,,,5,1960170,
Metropolitana,,,388,2020/05/21,44641.0,3462.0,3126.0,336.0,77.53%,,,,13,8125072,
O’Higgins,,,7,2020/05/21,465.0,10.0,8.0,2.0,0.81%,,,,6,991063,
Maule,,,15,2020/05/21,731.0,51.0,44.0,7.0,1.27%,,,,7,1131939,
Ñuble,,,21,2020/05/21,1020.0,9.0,8.0,1.0,1.77%,,,,16,511551,
Biobío,,,9,2020/05/21,1263.0,39.0,32.0,7.0,2.19%,,,,8,1663696,
Araucanía,,,44,2020/05/21,1715.0,35.0,25.0,10.0,2.98%,,,,9,1014343,
Los Ríos,,,6,2020/05/21,258.0,11.0,10.0,1.0,0.45%,,,,14,405835,
Los Lagos,,,13,2020/05/21,693.0,27.0,14.0,13.0,1.20%,,,,10,891440,
Aysén,,,0,2020/05/21,8.0,0.0,0.0,0.0,0.01%,,,,11,107297,
Magallanes,,,18,2020/05/21,987.0,10.0,10.0,0.0,1.71%,,,,12,178362,
Arica y Parinacota,0.0,0.0,0,2020/03/05,,,,,,,,,15,252110,0.0
Tarapacá,0.0,0.0,0,2020/03/05,,,,,,,,,1,382773,0.0
Antofagasta,0.0,0.0,0,2020/03/05,,,,,,,,,2,691854,0.0
Atacama,0.0,0.0,0,2020/03/05,,,,,,,,,3,314709,0.0
Coquimbo,0.0,0.0,0,2020/03/05,,,,,,,,,4,836096,0.0
Valparaíso,0.0,0.0,0,2020/03/05,,,,,,,,,5,1960170,0.0
Metropolitana,1.0,2.0,0,2020/03/05,,,,,,,,,13,8125072,0.02461516648714005
O’Higgins,0.0,0.0,0,2020/03/05,,,,,,,,,6,991063,0.0
Maule,0.0,2.0,0,2020/03/05,,,,,,,,,7,1131939,0.1766879664010163
Ñuble,0.0,0.0,0,2020/03/05,,,,,,,,,16,511551,0.0
Biobío,0.0,0.0,0,2020/03/05,,,,,,,,,8,1663696,0.0
Araucanía,0.0,0.0,0,2020/03/05,,,,,,,,,9,1014343,0.0
Los Ríos,0.0,0.0,0,2020/03/05,,,,,,,,,14,405835,0.0
Los Lagos,0.0,0.0,0,2020/03/05,,,,,,,,,10,891440,0.0
Aysén,0.0,0.0,0,2020/03/05,,,,,,,,,11,107297,0.0
Magallanes,0.0,0.0,0,2020/03/05,,,,,,,,,12,178362,0.0
Arica y Parinacota,,,4,2020/05/05,315.0,7.0,7.0,0.0,1.43%,,,,15,252110,
Tarapacá,,,1,2020/05/05,322.0,27.0,14.0,13.0,1.46%,,,,1,382773,
Antofagasta,,,7,2020/05/05,811.0,51.0,41.0,10.0,3.68%,,,,2,691854,
Atacama,,,0,2020/05/05,78.0,8.0,4.0,4.0,0.35%,,,,3,314709,
Coquimbo,,,0,2020/05/05,97.0,6.0,5.0,1.0,0.44%,,,,4,836096,
Valparaíso,,,15,2020/05/05,687.0,31.0,31.0,0.0,3.12%,,,,5,1960170,
Metropolitana,,,146,2020/05/05,14707.0,1179.0,1157.0,22.0,66.80%,,,,13,8125072,
O’Higgins,,,3,2020/05/05,136.0,5.0,5.0,0.0,0.62%,,,,6,991063,
Maule,,,13,2020/05/05,408.0,9.0,7.0,2.0,1.85%,,,,7,1131939,
Ñuble,,,17,2020/05/05,789.0,2.0,2.0,0.0,3.58%,,,,16,511551,
Biobío,,,8,2020/05/05,774.0,12.0,11.0,1.0,3.52%,,,,8,1663696,
Araucanía,,,36,2020/05/05,1352.0,21.0,19.0,2.0,6.14%,,,,9,1014343,
Los Ríos,,,4,2020/05/05,199.0,0.0,0.0,0.0,0.90%,,,,14,405835,
Los Lagos,,,10,2020/05/05,525.0,1.0,1.0,0.0,2.38%,,,,10,891440,
Aysén,,,0,2020/05/05,7.0,0.0,0.0,0.0,0.03%,,,,11,107297,
Magallanes,,,11,2020/05/05,809.0,14.0,13.0,1.0,3.67%,,,,12,178362,
Arica y Parinacota,16.0,28.0,0,2020/04/05,,,,,,,,,15,252110,11.106263139105947
Tarapacá,3.0,20.0,0,2020/04/05,,,,,,,,,1,382773,5.22502893359772
Antofagasta,5.0,60.0,0,2020/04/05,,,,,,,,,2,691854,8.672349946665049
Atacama,0.0,5.0,0,2020/04/05,,,,,,,,,3,314709,1.5887693075190097
Coquimbo,6.0,50.0,0,2020/04/05,,,,,,,,,4,836096,5.98017452541335
Valparaíso,6.0,191.0,1,2020/04/05,,,,,,,,,5,1960170,9.74405281174592
Metropolitana,145.0,2102.0,10,2020/04/05,,,,,,,,,13,8125072,25.870539977984198
O’Higgins,3.0,41.0,0,2020/04/05,,,,,,,,,6,991063,4.136972119834965
Maule,6.0,103.0,1,2020/04/05,,,,,,,,,7,1131939,9.09943026965234
Ñuble,24.0,425.0,3,2020/04/05,,,,,,,,,16,511551,83.08067035349359
Biobío,18.0,365.0,2,2020/04/05,,,,,,,,,8,1663696,21.93910425943201
Araucanía,32.0,509.0,13,2020/04/05,,,,,,,,,9,1014343,50.18026446675335
Los Ríos,10.0,99.0,1,2020/04/05,,,,,,,,,14,405835,24.39415033203149
Los Lagos,17.0,276.0,1,2020/04/05,,,,,,,,,10,891440,30.96114152382662
Aysén,1.0,7.0,0,2020/04/05,,,,,,,,,11,107297,6.523947547461719
Magallanes,18.0,190.0,2,2020/04/05,,,,,,,,,12,178362,106.52493244076653
Arica y Parinacota,,,7,2020/05/17,378.0,1.0,1.0,0.0,0.86%,,,,15,252110,
Tarapacá,,,4,2020/05/17,975.0,130.0,108.0,22.0,2.23%,,,,1,382773,
Antofagasta,,,13,2020/05/17,1505.0,76.0,60.0,16.0,3.44%,,,,2,691854,
Atacama,,,0,2020/05/17,149.0,3.0,2.0,1.0,0.34%,,,,3,314709,
Coquimbo,,,2,2020/05/17,194.0,7.0,1.0,6.0,0.44%,,,,4,836096,
Valparaíso,,,29,2020/05/17,1474.0,109.0,85.0,24.0,3.37%,,,,5,1960170,
Metropolitana,,,270,2020/05/17,32684.0,1890.0,1671.0,219.0,74.65%,,,,13,8125072,
O’Higgins,,,5,2020/05/17,366.0,37.0,22.0,15.0,0.84%,,,,6,991063,
Maule,,,14,2020/05/17,573.0,22.0,17.0,5.0,1.31%,,,,7,1131939,
Ñuble,,,20,2020/05/17,942.0,21.0,14.0,7.0,2.15%,,,,16,511551,
Biobío,,,9,2020/05/17,1099.0,25.0,19.0,6.0,2.51%,,,,8,1663696,
Araucanía,,,44,2020/05/17,1606.0,19.0,13.0,6.0,3.67%,,,,9,1014343,
Los Ríos,,,6,2020/05/17,220.0,1.0,1.0,0.0,0.50%,,,,14,405835,
Los Lagos,,,11,2020/05/17,647.0,3.0,2.0,1.0,1.48%,,,,10,891440,
Aysén,,,0,2020/05/17,8.0,0.0,0.0,0.0,0.02%,,,,11,107297,
Magallanes,,,16,2020/05/17,961.0,9.0,8.0,1.0,2.20%,,,,12,178362,
Arica y Parinacota,0.0,1.0,0,2020/03/21,,,,,,,,,15,252110,0.3966522549680695
Tarapacá,0.0,0.0,0,2020/03/21,,,,,,,,,1,382773,0.0
Antofagasta,4.0,10.0,0,2020/03/21,,,,,,,,,2,691854,1.4453916577775079
Atacama,0.0,1.0,0,2020/03/21,,,,,,,,,3,314709,0.3177538615038019
Coquimbo,0.0,3.0,0,2020/03/21,,,,,,,,,4,836096,0.358810471524801
Valparaíso,8.0,13.0,0,2020/03/21,,,,,,,,,5,1960170,0.6632077829984134
Metropolitana,55.0,359.0,0,2020/03/21,,,,,,,,,13,8125072,4.418422384441639
O’Higgins,1.0,7.0,0,2020/03/21,,,,,,,,,6,991063,0.706312313142555
Maule,1.0,15.0,0,2020/03/21,,,,,,,,,7,1131939,1.3251597480076223
Ñuble,14.0,58.0,0,2020/03/21,,,,,,,,,16,511551,11.338067954123831
Biobío,11.0,30.0,0,2020/03/21,,,,,,,,,8,1663696,1.8032140487204391
Araucanía,6.0,15.0,0,2020/03/21,,,,,,,,,9,1014343,1.4787897190595292
Los Ríos,0.0,1.0,0,2020/03/21,,,,,,,,,14,405835,0.24640555890940902
Los Lagos,2.0,20.0,0,2020/03/21,,,,,,,,,10,891440,2.243560979987436
Aysén,0.0,1.0,0,2020/03/21,,,,,,,,,11,107297,0.9319925067802455
Magallanes,1.0,3.0,0,2020/03/21,,,,,,,,,12,178362,1.6819726174857872
Arica y Parinacota,5.0,134.0,2,2020/04/17,,,,,,,,,15,252110,53.15140216572131
Tarapacá,7.0,73.0,0,2020/04/17,,,,,,,,,1,382773,19.071355607631677
Antofagasta,19.0,211.0,1,2020/04/17,,,,,,,,,2,691854,30.497763979105418
Atacama,0.0,13.0,0,2020/04/17,,,,,,,,,3,314709,4.130800199549425
Coquimbo,0.0,68.0,0,2020/04/17,,,,,,,,,4,836096,8.133037354562155
Valparaíso,15.0,345.0,4,2020/04/17,,,,,,,,,5,1960170,17.60051424111174
Metropolitana,233.0,4915.0,51,2020/04/17,,,,,,,,,13,8125072,60.49177164214668
O’Higgins,1.0,55.0,0,2020/04/17,,,,,,,,,6,991063,5.549596746120075
Maule,56.0,223.0,7,2020/04/17,,,,,,,,,7,1131939,19.70070825371332
Ñuble,17.0,656.0,11,2020/04/17,,,,,,,,,16,511551,128.2374582397454
Biobío,19.0,578.0,3,2020/04/17,,,,,,,,,8,1663696,34.74192400534713
Araucanía,25.0,907.0,22,2020/04/17,,,,,,,,,9,1014343,89.41748501246619
Los Ríos,1.0,154.0,3,2020/04/17,,,,,,,,,14,405835,37.94645607204899
Los Lagos,13.0,412.0,6,2020/04/17,,,,,,,,,10,891440,46.21735618774118
Aysén,0.0,7.0,0,2020/04/17,,,,,,,,,11,107297,6.523947547461719
Magallanes,34.0,501.0,6,2020/04/17,,,,,,,,,12,178362,280.88942712012647
Arica y Parinacota,20.0,107.0,0,2020/04/11,,,,,,,,,15,252110,42.44179128158344
Tarapacá,3.0,38.0,0,2020/04/11,,,,,,,,,1,382773,9.927554973835667
Antofagasta,7.0,117.0,1,2020/04/11,,,,,,,,,2,691854,16.911082395996843
Atacama,0.0,13.0,0,2020/04/11,,,,,,,,,3,314709,4.130800199549425
Coquimbo,3.0,64.0,0,2020/04/11,,,,,,,,,4,836096,7.654623392529087
Valparaíso,7.0,248.0,2,2020/04/11,,,,,,,,,5,1960170,12.651963860277425
Metropolitana,255.0,3448.0,32,2020/04/11,,,,,,,,,13,8125072,42.43654702382945
O’Higgins,1.0,45.0,0,2020/04/11,,,,,,,,,6,991063,4.540579155916426
Maule,3.0,134.0,3,2020/04/11,,,,,,,,,7,1131939,11.838093748868092
Ñuble,17.0,606.0,6,2020/04/11,,,,,,,,,16,511551,118.46326172756969
Biobío,16.0,490.0,2,2020/04/11,,,,,,,,,8,1663696,29.452496129100506
Araucanía,27.0,739.0,17,2020/04/11,,,,,,,,,9,1014343,72.85504015899947
Los Ríos,6.0,130.0,2,2020/04/11,,,,,,,,,14,405835,32.032722658223165
Los Lagos,15.0,364.0,5,2020/04/11,,,,,,,,,10,891440,40.832809835771336
Aysén,0.0,7.0,0,2020/04/11,,,,,,,,,11,107297,6.523947547461719
Magallanes,46.0,377.0,3,2020/04/11,,,,,,,,,12,178362,211.36789226404727
Arica y Parinacota,,,7,2020/05/11,351.0,11.0,10.0,1.0,1.17%,,,,15,252110,
Tarapacá,,,1,2020/05/11,547.0,27.0,18.0,9.0,1.82%,,,,1,382773,
Antofagasta,,,10,2020/05/11,1014.0,36.0,32.0,4.0,3.37%,,,,2,691854,
Atacama,,,0,2020/05/11,133.0,9.0,5.0,4.0,0.44%,,,,3,314709,
Coquimbo,,,1,2020/05/11,140.0,5.0,5.0,0.0,0.47%,,,,4,836096,
Valparaíso,,,21,2020/05/11,970.0,37.0,29.0,8.0,3.23%,,,,5,1960170,
Metropolitana,,,172,2020/05/11,21317.0,964.0,827.0,137.0,70.91%,,,,13,8125072,
O’Higgins,,,4,2020/05/11,216.0,21.0,13.0,8.0,0.72%,,,,6,991063,
Maule,,,14,2020/05/11,454.0,13.0,9.0,4.0,1.51%,,,,7,1131939,
Ñuble,,,18,2020/05/11,814.0,2.0,1.0,1.0,2.71%,,,,16,511551,
Biobío,,,8,2020/05/11,932.0,33.0,12.0,21.0,3.10%,,,,8,1663696,
Araucanía,,,38,2020/05/11,1466.0,12.0,2.0,10.0,4.88%,,,,9,1014343,
Los Ríos,,,5,2020/05/11,208.0,2.0,1.0,1.0,0.69%,,,,14,405835,
Los Lagos,,,10,2020/05/11,592.0,17.0,8.0,9.0,1.97%,,,,10,891440,
Aysén,,,0,2020/05/11,8.0,0.0,0.0,0.0,0.03%,,,,11,107297,
Magallanes,,,14,2020/05/11,901.0,8.0,3.0,5.0,3.00%,,,,12,178362,
Arica y Parinacota,0.0,3.0,0,2020/03/27,,,,,,,,,15,252110,1.1899567649042084
Tarapacá,0.0,5.0,0,2020/03/27,,,,,,,,,1,382773,1.30625723339943
Antofagasta,1.0,21.0,0,2020/03/27,,,,,,,,,2,691854,3.035322481332767
Atacama,0.0,1.0,0,2020/03/27,,,,,,,,,3,314709,0.3177538615038019
Coquimbo,1.0,14.0,0,2020/03/27,,,,,,,,,4,836096,1.674448867115738
Valparaíso,5.0,49.0,0,2020/03/27,,,,,,,,,5,1960170,2.4997831820709426
Metropolitana,192.0,938.0,3,2020/03/27,,,,,,,,,13,8125072,11.544513082468685
O’Higgins,2.0,16.0,0,2020/03/27,,,,,,,,,6,991063,1.6144281443258401
Maule,1.0,32.0,0,2020/03/27,,,,,,,,,7,1131939,2.827007462416261
Ñuble,30.0,144.0,0,2020/03/27,,,,,,,,,16,511551,28.14968595506606
Biobío,26.0,135.0,2,2020/03/27,,,,,,,,,8,1663696,8.114463219241978
Araucanía,32.0,143.0,0,2020/03/27,,,,,,,,,9,1014343,14.097795321700845
Los Ríos,8.0,22.0,0,2020/03/27,,,,,,,,,14,405835,5.420922296006998
Los Lagos,3.0,63.0,0,2020/03/27,,,,,,,,,10,891440,7.067217086960423
Aysén,0.0,2.0,0,2020/03/27,,,,,,,,,11,107297,1.863985013560491
Magallanes,3.0,22.0,0,2020/03/27,,,,,,,,,12,178362,12.334465861562443
Arica y Parinacota,,,6,2020/05/08,327.0,2.0,1.0,1.0,1.26%,,,,15,252110,
Tarapacá,,,1,2020/05/08,459.0,42.0,5.0,37.0,1.77%,,,,1,382773,
Antofagasta,,,9,2020/05/08,923.0,28.0,26.0,2.0,3.55%,,,,2,691854,
Atacama,,,0,2020/05/08,88.0,1.0,0.0,1.0,0.34%,,,,3,314709,
Coquimbo,,,0,2020/05/08,111.0,11.0,9.0,2.0,0.43%,,,,4,836096,
Valparaíso,,,18,2020/05/08,828.0,47.0,38.0,9.0,3.19%,,,,5,1960170,
Metropolitana,,,157,2020/05/08,17979.0,1151.0,1022.0,129.0,69.22%,,,,13,8125072,
O’Higgins,,,3,2020/05/08,167.0,16.0,13.0,3.0,0.64%,,,,6,991063,
Maule,,,13,2020/05/08,425.0,11.0,11.0,0.0,1.64%,,,,7,1131939,
Ñuble,,,18,2020/05/08,794.0,1.0,1.0,0.0,3.06%,,,,16,511551,
Biobío,,,8,2020/05/08,842.0,28.0,20.0,8.0,3.24%,,,,8,1663696,
Araucanía,,,36,2020/05/08,1403.0,18.0,7.0,11.0,5.40%,,,,9,1014343,
Los Ríos,,,4,2020/05/08,203.0,1.0,1.0,0.0,0.78%,,,,14,405835,
Los Lagos,,,10,2020/05/08,548.0,3.0,1.0,2.0,2.11%,,,,10,891440,
Aysén,,,0,2020/05/08,8.0,0.0,0.0,0.0,0.03%,,,,11,107297,
Magallanes,,,11,2020/05/08,867.0,31.0,28.0,3.0,3.34%,,,,12,178362,
Arica y Parinacota,5.0,12.0,0,2020/04/03,,,,,,,,,15,252110,4.759827059616834
Tarapacá,1.0,13.0,0,2020/04/03,,,,,,,,,1,382773,3.396268806838518
Antofagasta,7.0,54.0,0,2020/04/03,,,,,,,,,2,691854,7.805114951998543
Atacama,2.0,5.0,0,2020/04/03,,,,,,,,,3,314709,1.5887693075190097
Coquimbo,1.0,35.0,0,2020/04/03,,,,,,,,,4,836096,4.186122167789344
Valparaíso,20.0,176.0,1,2020/04/03,,,,,,,,,5,1960170,8.978813062132366
Metropolitana,106.0,1742.0,8,2020/04/03,,,,,,,,,13,8125072,21.439810010298988
O’Higgins,1.0,33.0,0,2020/04/03,,,,,,,,,6,991063,3.3297580476720454
Maule,7.0,89.0,1,2020/04/03,,,,,,,,,7,1131939,7.862614504845226
Ñuble,29.0,370.0,1,2020/04/03,,,,,,,,,16,511551,72.32905419010031
Biobío,27.0,302.0,2,2020/04/03,,,,,,,,,8,1663696,18.152354757119088
Araucanía,43.0,432.0,7,2020/04/03,,,,,,,,,9,1014343,42.58914390891444
Los Ríos,10.0,78.0,1,2020/04/03,,,,,,,,,14,405835,19.219633594933903
Los Lagos,31.0,234.0,0,2020/04/03,,,,,,,,,10,891440,26.249663465853
Aysén,1.0,6.0,0,2020/04/03,,,,,,,,,11,107297,5.591955040681473
Magallanes,42.0,156.0,1,2020/04/03,,,,,,,,,12,178362,87.46257610926094
Arica y Parinacota,,,4,2020/05/03,308.0,1.0,1.0,0.0,1.57%,,,,15,252110,
Tarapacá,,,1,2020/05/03,272.0,60.0,54.0,6.0,1.38%,,,,1,382773,
Antofagasta,,,7,2020/05/03,740.0,61.0,45.0,16.0,3.76%,,,,2,691854,
Atacama,,,0,2020/05/03,67.0,8.0,8.0,0.0,0.34%,,,,3,314709,
Coquimbo,,,0,2020/05/03,88.0,10.0,5.0,5.0,0.45%,,,,4,836096,
Valparaíso,,,13,2020/05/03,638.0,24.0,23.0,1.0,3.24%,,,,5,1960170,
Metropolitana,,,135,2020/05/03,12656.0,995.0,912.0,83.0,64.36%,,,,13,8125072,
O’Higgins,,,3,2020/05/03,125.0,5.0,4.0,1.0,0.64%,,,,6,991063,
Maule,,,13,2020/05/03,397.0,1.0,1.0,0.0,2.02%,,,,7,1131939,
Ñuble,,,16,2020/05/03,786.0,10.0,7.0,3.0,4.00%,,,,16,511551,
Biobío,,,7,2020/05/03,759.0,8.0,7.0,1.0,3.86%,,,,8,1663696,
Araucanía,,,36,2020/05/03,1328.0,14.0,14.0,0.0,6.75%,,,,9,1014343,
Los Ríos,,,4,2020/05/03,198.0,2.0,2.0,0.0,1.01%,,,,14,405835,
Los Lagos,,,10,2020/05/03,517.0,4.0,4.0,0.0,2.63%,,,,10,891440,
Aysén,,,0,2020/05/03,7.0,0.0,0.0,0.0,0.04%,,,,11,107297,
Magallanes,,,11,2020/05/03,777.0,25.0,25.0,0.0,3.95%,,,,12,178362,
Arica y Parinacota,10.0,63.0,0,2020/04/08,,,,,,,,,15,252110,24.98909206298838
Tarapacá,3.0,26.0,0,2020/04/08,,,,,,,,,1,382773,6.792537613677036
Antofagasta,8.0,77.0,1,2020/04/08,,,,,,,,,2,691854,11.129515764886811
Atacama,2.0,8.0,0,2020/04/08,,,,,,,,,3,314709,2.5420308920304153
Coquimbo,4.0,56.0,0,2020/04/08,,,,,,,,,4,836096,6.697795468462952
Valparaíso,11.0,225.0,2,2020/04/08,,,,,,,,,5,1960170,11.478596244203308
Metropolitana,198.0,2548.0,14,2020/04/08,,,,,,,,,13,8125072,31.359722104616427
O’Higgins,1.0,43.0,0,2020/04/08,,,,,,,,,6,991063,4.338775637875695
Maule,11.0,119.0,2,2020/04/08,,,,,,,,,7,1131939,10.51293400086047
Ñuble,39.0,561.0,5,2020/04/08,,,,,,,,,16,511551,109.66648486661155
Biobío,29.0,439.0,2,2020/04/08,,,,,,,,,8,1663696,26.38703224627576
Araucanía,57.0,669.0,15,2020/04/08,,,,,,,,,9,1014343,65.954021470055
Los Ríos,5.0,114.0,2,2020/04/08,,,,,,,,,14,405835,28.090233715672625
Los Lagos,26.0,325.0,2,2020/04/08,,,,,,,,,10,891440,36.45786592479584
Aysén,0.0,7.0,0,2020/04/08,,,,,,,,,11,107297,6.523947547461719
Magallanes,26.0,266.0,3,2020/04/08,,,,,,,,,12,178362,149.13490541707313
Arica y Parinacota,0.0,0.0,0,2020/03/03,,,,,,,,,15,252110,0.0
Tarapacá,0.0,0.0,0,2020/03/03,,,,,,,,,1,382773,0.0
Antofagasta,0.0,0.0,0,2020/03/03,,,,,,,,,2,691854,0.0
Atacama,0.0,0.0,0,2020/03/03,,,,,,,,,3,314709,0.0
Coquimbo,0.0,0.0,0,2020/03/03,,,,,,,,,4,836096,0.0
Valparaíso,0.0,0.0,0,2020/03/03,,,,,,,,,5,1960170,0.0
Metropolitana,0.0,0.0,0,2020/03/03,,,,,,,,,13,8125072,0.0
O’Higgins,0.0,0.0,0,2020/03/03,,,,,,,,,6,991063,0.0
Maule,1.0,1.0,0,2020/03/03,,,,,,,,,7,1131939,0.08834398320050815
Ñuble,0.0,0.0,0,2020/03/03,,,,,,,,,16,511551,0.0
Biobío,0.0,0.0,0,2020/03/03,,,,,,,,,8,1663696,0.0
Araucanía,0.0,0.0,0,2020/03/03,,,,,,,,,9,1014343,0.0
Los Ríos,0.0,0.0,0,2020/03/03,,,,,,,,,14,405835,0.0
Los Lagos,0.0,0.0,0,2020/03/03,,,,,,,,,10,891440,0.0
Aysén,0.0,0.0,0,2020/03/03,,,,,,,,,11,107297,0.0
Magallanes,0.0,0.0,0,2020/03/03,,,,,,,,,12,178362,0.0
Arica y Parinacota,0.0,0.0,0,2020/03/08,,,,,,,,,15,252110,0.0
Tarapacá,0.0,0.0,0,2020/03/08,,,,,,,,,1,382773,0.0
Antofagasta,0.0,0.0,0,2020/03/08,,,,,,,,,2,691854,0.0
Atacama,0.0,0.0,0,2020/03/08,,,,,,,,,3,314709,0.0
Coquimbo,0.0,0.0,0,2020/03/08,,,,,,,,,4,836096,0.0
Valparaíso,0.0,0.0,0,2020/03/08,,,,,,,,,5,1960170,0.0
Metropolitana,2.0,6.0,0,2020/03/08,,,,,,,,,13,8125072,0.07384549946142016
O’Higgins,0.0,0.0,0,2020/03/08,,,,,,,,,6,991063,0.0
Maule,1.0,3.0,0,2020/03/08,,,,,,,,,7,1131939,0.2650319496015245
Ñuble,0.0,0.0,0,2020/03/08,,,,,,,,,16,511551,0.0
Biobío,0.0,0.0,0,2020/03/08,,,,,,,,,8,1663696,0.0
Araucanía,0.0,0.0,0,2020/03/08,,,,,,,,,9,1014343,0.0
Los Ríos,0.0,0.0,0,2020/03/08,,,,,,,,,14,405835,0.0
Los Lagos,0.0,1.0,0,2020/03/08,,,,,,,,,10,891440,0.1121780489993718
Aysén,0.0,0.0,0,2020/03/08,,,,,,,,,11,107297,0.0
Magallanes,0.0,0.0,0,2020/03/08,,,,,,,,,12,178362,0.0
Arica y Parinacota,0.0,0.0,0,2020/03/11,,,,,,,,,15,252110,0.0
Tarapacá,0.0,0.0,0,2020/03/11,,,,,,,,,1,382773,0.0
Antofagasta,0.0,0.0,0,2020/03/11,,,,,,,,,2,691854,0.0
Atacama,0.0,0.0,0,2020/03/11,,,,,,,,,3,314709,0.0
Coquimbo,0.0,0.0,0,2020/03/11,,,,,,,,,4,836096,0.0
Valparaíso,0.0,0.0,0,2020/03/11,,,,,,,,,5,1960170,0.0
Metropolitana,4.0,14.0,0,2020/03/11,,,,,,,,,13,8125072,0.17230616540998037
O’Higgins,0.0,0.0,0,2020/03/11,,,,,,,,,6,991063,0.0
Maule,2.0,7.0,0,2020/03/11,,,,,,,,,7,1131939,0.6184078824035572
Ñuble,0.0,0.0,0,2020/03/11,,,,,,,,,16,511551,0.0
