Region,Codigo region,Semana Epidemiologica,Casos confirmados
Arica y Parinacota,15,SE19,0.0
Tarapacá,01,SE19,0.0
Antofagasta,02,SE19,0.0
Atacama,03,SE19,0.0
Coquimbo,04,SE19,0.0
Valparaíso,05,SE19,0.0
Metropolitana,13,SE19,2.0
O’Higgins,06,SE19,0.0
Maule,07,SE19,0.0
Ñuble,16,SE19,0.0
Biobío,08,SE19,0.0
Araucanía,09,SE19,0.0
Los Ríos,14,SE19,0.0
Los Lagos,10,SE19,0.0
Aysén,11,SE19,0.0
Magallanes,12,SE19,0.0
Arica y Parinacota,15,SE20,0.0
Tarapacá,01,SE20,0.0
Antofagasta,02,SE20,0.0
Atacama,03,SE20,0.0
Coquimbo,04,SE20,0.0
Valparaíso,05,SE20,0.0
Metropolitana,13,SE20,0.0
O’Higgins,06,SE20,0.0
Maule,07,SE20,0.0
Ñuble,16,SE20,0.0
Biobío,08,SE20,0.0
Araucanía,09,SE20,0.0
Los Ríos,14,SE20,0.0
Los Lagos,10,SE20,0.0
Aysén,11,SE20,0.0
Magallanes,12,SE20,0.0
Arica y Parinacota,15,SE21,0.0
Tarapacá,01,SE21,0.0
Antofagasta,02,SE21,0.0
Atacama,03,SE21,0.0
Coquimbo,04,SE21,0.0
Valparaíso,05,SE21,0.0
Metropolitana,13,SE21,0.0
O’Higgins,06,SE21,0.0
Maule,07,SE21,0.0
Ñuble,16,SE21,0.0
Biobío,08,SE21,0.0
Araucanía,09,SE21,0.0
Los Ríos,14,SE21,0.0
Los Lagos,10,SE21,0.0
Aysén,11,SE21,0.0
Magallanes,12,SE21,0.0
