Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion,Fecha,variable,value
Maule,7,Linares,7401,1466.0,101073.0,2020-03-08,IM_interno,4.022745625841185
Maule,7,Linares,7401,1466.0,101073.0,2020-03-09,IM_interno,5.892395693135937
Maule,7,Linares,7401,1466.0,101073.0,2020-03-10,IM_interno,5.821803499327053
Maule,7,Linares,7401,1466.0,101073.0,2020-03-11,IM_interno,5.688963660834456
Maule,7,Linares,7401,1466.0,101073.0,2020-03-12,IM_interno,5.743405114401077
Maule,7,Linares,7401,1466.0,101073.0,2020-03-13,IM_interno,6.076379542395692
Maule,7,Linares,7401,1466.0,101073.0,2020-03-14,IM_interno,5.015545087483177
Maule,7,Linares,7401,1466.0,101073.0,2020-03-15,IM_interno,3.90699865410498
Maule,7,Linares,7401,1466.0,101073.0,2020-03-16,IM_interno,5.279609690444144
Maule,7,Linares,7401,1466.0,101073.0,2020-03-17,IM_interno,4.7350605652759095
Maule,7,Linares,7401,1466.0,101073.0,2020-03-18,IM_interno,4.625168236877523
Maule,7,Linares,7401,1466.0,101073.0,2020-03-19,IM_interno,4.237012113055181
Maule,7,Linares,7401,1466.0,101073.0,2020-03-20,IM_interno,3.977658142664872
Maule,7,Linares,7401,1466.0,101073.0,2020-03-21,IM_interno,3.3858008075370116
Maule,7,Linares,7401,1466.0,101073.0,2020-03-22,IM_interno,2.594010767160161
Maule,7,Linares,7401,1466.0,101073.0,2020-03-23,IM_interno,3.6549125168236882
Maule,7,Linares,7401,1466.0,101073.0,2020-03-24,IM_interno,3.4529609690444145
Maule,7,Linares,7401,1466.0,101073.0,2020-03-25,IM_interno,3.5941453566621804
Maule,7,Linares,7401,1466.0,101073.0,2020-03-26,IM_interno,3.627523553162853
Maule,7,Linares,7401,1466.0,101073.0,2020-03-27,IM_interno,3.791049798115747
Maule,7,Linares,7401,1466.0,101073.0,2020-03-28,IM_interno,3.25471063257066
Maule,7,Linares,7401,1466.0,101073.0,2020-03-29,IM_interno,2.5890309555854643
Maule,7,Linares,7401,1466.0,101073.0,2020-03-30,IM_interno,3.8085464333781966
Maule,7,Linares,7401,1466.0,101073.0,2020-03-31,IM_interno,3.9150067294751008
Maule,7,Linares,7401,1466.0,101073.0,2020-04-01,IM_interno,3.910767160161508
Maule,7,Linares,7401,1466.0,101073.0,2020-04-02,IM_interno,3.663660834454912
Maule,7,Linares,7401,1466.0,101073.0,2020-04-03,IM_interno,4.274293405114402
Maule,7,Linares,7401,1466.0,101073.0,2020-04-04,IM_interno,3.4499327052489908
Maule,7,Linares,7401,1466.0,101073.0,2020-04-05,IM_interno,2.4637954239569315
Maule,7,Linares,7401,1466.0,101073.0,2020-04-06,IM_interno,3.630080753701211
Maule,7,Linares,7401,1466.0,101073.0,2020-04-07,IM_interno,3.578196500672948
Maule,7,Linares,7401,1466.0,101073.0,2020-04-08,IM_interno,3.4934051144010767
Maule,7,Linares,7401,1466.0,101073.0,2020-04-09,IM_interno,3.700807537012113
Maule,7,Linares,7401,1466.0,101073.0,2020-04-10,IM_interno,2.301076716016151
Maule,7,Linares,7401,1466.0,101073.0,2020-04-11,IM_interno,2.467227456258412
Maule,7,Linares,7401,1466.0,101073.0,2020-04-12,IM_interno,2.323351278600269
Maule,7,Talca,7101,232.0,236724.0,2020-02-26,IM_interno,5.050132302055769
Maule,7,Talca,7101,232.0,236724.0,2020-02-27,IM_interno,5.190087522898434
Maule,7,Talca,7101,232.0,236724.0,2020-02-28,IM_interno,5.821270099735396
Maule,7,Talca,7101,232.0,236724.0,2020-02-29,IM_interno,4.580968858131489
Maule,7,Talca,7101,232.0,236724.0,2020-03-01,IM_interno,3.7111133726847134
Maule,7,Talca,7101,232.0,236724.0,2020-03-02,IM_interno,5.7522898432729495
Maule,7,Talca,7101,232.0,236724.0,2020-03-03,IM_interno,5.8609810706289425
Maule,7,Talca,7101,232.0,236724.0,2020-03-04,IM_interno,5.684042336657847
Maule,7,Talca,7101,232.0,236724.0,2020-03-05,IM_interno,5.694870751068593
Maule,7,Talca,7101,232.0,236724.0,2020-03-06,IM_interno,5.884876857317321
Maule,7,Talca,7101,232.0,236724.0,2020-03-07,IM_interno,4.599287604315083
