Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
La Araucanía,9.0,Perquenco,9113,330.7,15,15,16,14,13,14,12,11,12,13,12,10,12,11,11,11,14,11,10,11,10,10,9,9,7,5,6,6,6,6,7,5,3,5,6,6,6,6,5,4,6,6,7,6,3,3,3
La Araucanía,9.0,Pitrufquén,9114,580.7,8,8,9,9,8,8,8,8,8,8,8,7,7,7,7,7,8,7,6,6,5,5,4,5,4,3,4,3,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,2
La Araucanía,9.0,Pucón,9115,1248.5,11,11,11,10,8,8,7,7,7,7,7,6,6,6,6,7,7,7,6,6,5,5,5,4,4,3,4,3,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,3
La Araucanía,9.0,Purén,9208,464.9,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2
La Araucanía,9.0,Renaico,9209,267.4,3,4,3,2,2,3,4,4,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
La Araucanía,9.0,Saavedra,9116,400.8,8,8,8,16,15,6,6,7,6,7,8,8,6,6,6,6,7,8,8,7,6,6,6,6,6,5,5,5,6,6,6,5,5,5,6,6,6,6,5,5,6,5,6,6,5,5,5
La Araucanía,9.0,Temuco,9101,464,8,8,8,6,5,9,8,9,8,9,6,5,8,8,8,8,8,6,5,7,6,6,5,5,3,3,4,4,4,4,5,4,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
La Araucanía,9.0,Teodoro Schmidt,9117,649.9,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2
La Araucanía,9.0,Toltén,9118,860.4,2,2,2,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
La Araucanía,9.0,Traiguén,9210,908,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,3,3,1,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
La Araucanía,9.0,Victoria,9211,1256,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,3,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2
La Araucanía,9.0,Vilcún,9119,1420.9,6,6,6,5,5,6,5,6,6,6,5,4,6,5,5,6,6,5,5,5,5,5,5,5,4,3,4,4,4,4,4,3,2,3,4,4,4,4,3,3,4,4,4,4,3,3,3
La Araucanía,9.0,Villarrica,9120,1291.1,8,8,8,8,7,7,7,7,7,7,6,5,7,6,6,7,7,6,5,6,5,5,5,5,4,3,4,4,4,4,4,3,3,4,4,4,4,5,4,3,5,4,4,5,3,3,3
Libertador General Bernardo O'Higgins,6.0,Chimbarongo,6303,498,7,7,7,7,6,7,7,6,6,7,6,5,6,6,7,7,8,7,6,6,5,6,5,5,4,3,4,4,4,5,4,4,3,4,4,4,4,5,4,3,5,4,4,5,3,3,3
Libertador General Bernardo O'Higgins,6.0,Chépica,6302,503,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,7,6,5,6,6,6,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,4,4
Libertador General Bernardo O'Higgins,6.0,Codegua,6102,287,7,7,7,7,6,7,7,7,7,7,6,6,7,7,7,7,8,7,6,7,7,6,6,6,5,4,5,5,5,5,6,4,3,5,5,6,5,5,5,4,5,5,5,5,4,4,4
Libertador General Bernardo O'Higgins,6.0,Coinco,6103,98,12,12,12,13,13,12,12,12,12,12,13,12,12,12,12,13,13,14,13,13,13,13,13,13,12,12,13,13,13,13,13,13,12,13,13,14,13,14,13,13,13,13,13,13,12,13,13
Libertador General Bernardo O'Higgins,6.0,Coltauco,6104,225,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,4,4,3,4,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2
Libertador General Bernardo O'Higgins,6.0,Doñihue,6105,78,6,6,6,6,6,6,6,7,7,7,6,6,6,7,6,7,7,7,6,6,6,6,6,6,5,4,5,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6,6,4,5,4
Libertador General Bernardo O'Higgins,6.0,Graneros,6106,113,8,8,8,8,7,8,7,7,8,8,7,6,7,7,7,8,9,8,7,8,7,7,7,7,6,4,6,6,6,6,6,5,4,6,6,7,6,6,6,5,6,6,6,6,4,4,4
Libertador General Bernardo O'Higgins,6.0,La Estrella,6202,435,7,7,7,6,6,6,6,6,6,6,6,6,8,6,5,6,6,7,6,6,6,5,6,6,4,3,5,4,4,4,5,4,3,4,5,5,5,5,4,3,5,5,5,5,2,3,3
Libertador General Bernardo O'Higgins,6.0,Las Cabras,6107,749,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Libertador General Bernardo O'Higgins,6.0,Litueche,6203,619,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,5,6,5,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,5,5,4,4,3,3,3
Libertador General Bernardo O'Higgins,6.0,Lolol,6304,597,8,9,8,8,9,8,8,7,7,8,8,7,5,7,7,8,8,9,9,8,7,8,7,7,6,6,7,7,6,6,6,6,6,7,7,7,7,7,7,6,7,7,7,6,5,6,6
Libertador General Bernardo O'Higgins,6.0,Machalí,6108,2597,5,5,5,5,4,5,5,5,5,6,5,4,5,5,5,6,6,5,4,5,5,5,4,4,3,3,4,4,4,4,4,3,3,4,5,4,4,4,4,3,4,4,4,4,3,3,3
Libertador General Bernardo O'Higgins,6.0,Malloa,6109,113,17,17,18,15,14,15,14,14,14,16,13,13,14,13,14,17,19,16,15,17,15,15,13,12,10,7,11,11,11,12,11,9,7,11,11,11,11,11,9,8,11,11,11,11,6,7,7
Libertador General Bernardo O'Higgins,6.0,Marchihue,6204,660,8,9,9,9,9,8,7,7,7,8,7,8,8,7,7,8,9,8,8,8,7,7,8,7,5,4,6,6,6,6,6,5,4,6,7,6,6,6,5,4,6,6,6,6,4,4,4
Libertador General Bernardo O'Higgins,6.0,Mostazal,6110,524,5,5,6,5,4,5,5,5,5,6,5,3,4,4,4,5,12,9,8,8,6,6,5,4,3,2,4,4,4,4,4,3,2,4,4,4,4,3,2,1,3,3,3,2,1,1,1
Libertador General Bernardo O'Higgins,6.0,Nancagua,6305,111,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,7,6,5,6,5,6,5,5,5,3,5,5,5,5,5,4,3,5,5,5,5,5,4,3,5,5,5,5,3,3,3
Libertador General Bernardo O'Higgins,6.0,Navidad,6205,300,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Libertador General Bernardo O'Higgins,6.0,Olivar,6111,45,12,12,13,11,9,12,12,11,9,10,9,7,9,10,9,10,11,9,7,9,9,9,8,8,6,4,7,7,7,7,7,6,4,7,7,7,7,7,6,5,7,8,7,8,4,5,4
Libertador General Bernardo O'Higgins,6.0,Palmilla,6306,237,5,4,5,5,4,5,5,5,5,6,5,5,6,5,5,5,6,5,4,5,5,5,5,5,4,3,4,4,4,4,5,4,3,4,4,5,4,4,4,3,4,5,4,4,3,3,3
Libertador General Bernardo O'Higgins,6.0,Paredones,6206,562,3,3,3,3,4,2,2,2,2,2,3,3,1,2,1,2,2,2,3,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,1,1,2,2,2,1,1,1,1
Libertador General Bernardo O'Higgins,6.0,Peralillo,6307,282.6,10,11,10,8,7,8,8,8,8,8,8,7,11,7,7,8,9,8,7,8,8,8,8,8,7,6,8,8,8,8,8,7,6,8,8,8,8,8,7,6,8,8,7,7,5,6,6
Libertador General Bernardo O'Higgins,6.0,Peumo,6112,153.1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,6,5,5,4,3,2,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,2,3,3
Libertador General Bernardo O'Higgins,6.0,Pichidegua,6113,320,10,11,10,8,7,8,8,8,8,9,8,7,9,8,8,9,9,9,7,9,11,9,8,8,7,6,8,8,8,8,8,7,6,8,8,8,8,8,7,6,8,8,8,8,6,6,6
Libertador General Bernardo O'Higgins,6.0,Pichilemu,6201,749.1,5,5,5,6,6,3,3,3,3,3,4,4,2,3,3,3,3,4,4,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1
Libertador General Bernardo O'Higgins,6.0,Placilla,6308,146.9,9,8,9,8,7,8,8,7,6,8,7,6,6,6,6,7,7,6,5,6,6,6,6,6,5,4,5,5,5,6,5,4,4,5,5,5,5,5,5,4,5,5,5,5,3,4,4
Libertador General Bernardo O'Higgins,6.0,Pumanque,6309,441,11,11,11,11,11,10,10,10,9,10,10,9,7,9,9,10,11,11,10,10,10,10,10,10,8,7,9,9,9,9,9,8,7,9,10,9,9,9,8,7,9,9,9,8,6,7,7
Libertador General Bernardo O'Higgins,6.0,Quinta de Tilcoco,6114,93,8,8,8,8,7,7,7,7,7,8,7,6,7,7,7,8,8,8,7,8,7,7,7,7,6,5,6,7,7,7,7,6,5,7,7,7,7,7,6,5,7,7,7,6,4,5,5
Libertador General Bernardo O'Higgins,6.0,Rancagua,6101,260.3,7,7,7,6,5,8,8,8,8,8,7,5,8,8,7,8,8,6,5,7,6,6,5,5,4,3,5,5,5,5,5,4,3,5,5,5,5,5,4,3,5,5,5,5,3,3,3
Libertador General Bernardo O'Higgins,6.0,Rengo,6115,755,7,8,8,7,6,7,7,7,8,8,7,7,8,8,7,8,8,8,7,8,7,7,7,7,5,4,6,6,6,6,6,5,5,6,6,6,6,6,5,4,5,5,5,5,3,4,4
Libertador General Bernardo O'Higgins,6.0,Requínoa,6116,673,14,14,14,12,10,13,13,12,11,12,10,9,11,11,11,12,13,10,10,11,11,10,10,10,7,6,9,9,9,9,9,7,6,9,9,9,8,9,7,6,9,9,9,9,5,6,6
Libertador General Bernardo O'Higgins,6.0,San Fernando,6301,2441,6,6,6,6,4,6,6,6,6,7,6,4,5,5,6,6,6,5,4,5,5,5,4,4,3,2,4,4,4,4,4,3,2,4,4,4,4,4,3,3,4,4,4,4,2,3,2
Libertador General Bernardo O'Higgins,6.0,San Vicente,6117,497.8,6,6,6,6,5,5,5,5,5,6,6,5,6,5,5,6,6,6,5,6,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,4,4
Libertador General Bernardo O'Higgins,6.0,Santa Cruz,6310,419.5,7,7,8,7,5,7,7,7,6,7,6,5,7,7,7,7,8,7,5,7,6,6,6,6,5,3,5,5,5,5,5,4,3,5,5,5,5,5,5,3,5,5,5,5,3,4,3
Los Lagos,10.0,Ancud,10202,1752.4,7,7,7,7,6,6,6,7,6,6,6,5,6,6,6,6,6,6,5,6,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Los Lagos,10.0,Calbuco,10102,590.8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,4,4,4
Los Lagos,10.0,Castro,10201,472.5,6,6,6,5,4,6,6,6,6,6,5,4,6,6,5,6,6,5,4,5,5,5,4,4,3,3,3,4,4,3,3,3,2,3,3,3,3,3,3,2,4,4,3,4,2,2,2
Los Lagos,10.0,Chaitén,10401,8470.5,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
Los Lagos,10.0,Chonchi,10203,1362.1,6,5,5,6,6,5,5,5,5,5,5,4,5,4,4,4,5,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2
Los Lagos,10.0,Cochamó,10103,3910.8,3,3,3,3,3,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
Los Lagos,10.0,Curaco de Vélez,10204,80,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,3,3,3,4,4,4,3,3,3
Los Lagos,10.0,Dalcahue,10205,1239.4,6,6,6,6,6,5,6,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3
Los Lagos,10.0,Fresia,10104,1278.1,6,7,6,7,6,6,6,6,7,7,6,5,5,6,5,5,5,6,6,6,5,6,6,6,6,5,5,5,6,6,6,5,5,5,6,6,6,5,6,5,5,5,6,6,4,5,5
Los Lagos,10.0,Frutillar,10105,831.4,8,9,9,9,8,7,7,8,7,7,7,6,7,7,7,7,7,7,6,6,6,6,6,6,4,4,4,5,5,5,5,4,4,5,5,5,5,5,4,3,5,5,5,5,3,3,3
Los Lagos,10.0,Futaleufú,10402,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10.0,Hualaihué,10403,2787.7,7,6,6,6,7,6,7,6,6,6,6,5,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,4,4,4
Los Lagos,10.0,Llanquihue,10107,420.8,8,8,8,8,7,7,7,7,7,7,6,6,7,7,7,7,7,7,6,7,6,6,6,5,6,4,5,5,5,5,5,4,4,5,5,5,5,5,4,3,5,5,5,5,3,4,3
Los Lagos,10.0,Los Muermos,10106,1245.8,5,5,5,5,5,4,4,5,4,5,5,4,4,4,4,4,4,5,5,5,4,4,4,5,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Los Lagos,10.0,Maullín,10108,860.8,7,7,7,8,9,6,6,6,6,6,6,6,6,6,5,5,5,6,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
Los Lagos,10.0,Osorno,10301,951,6,6,6,5,4,6,6,7,6,7,5,4,7,6,6,6,7,5,4,6,5,5,4,4,3,2,3,3,3,4,4,3,2,4,2,2,2,2,2,1,2,2,2,2,1,1,1
Los Lagos,10.0,Palena,10404,2763.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Lagos,10.0,Puerto Montt,10101,1673,6,6,6,5,5,6,6,7,6,7,5,4,6,7,6,6,7,5,4,6,5,5,5,5,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,5,3,3,3
Los Lagos,10.0,Puerto Octay,10302,1795.7,9,9,9,9,9,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,6,6,6,6,5,5,6,6,6,6,6,5,4,6,6,6,6,4,4,4
Los Lagos,10.0,Puerto Varas,10109,4064.9,9,10,10,9,8,9,9,9,9,9,8,7,8,8,8,8,9,8,7,8,7,7,6,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,4,3,5,5,5,5,3,4,4
Los Lagos,10.0,Puqueldón,10206,97.3,7,7,7,8,7,6,6,7,6,6,6,6,6,6,6,6,6,6,7,6,6,7,6,6,6,5,5,6,6,6,5,5,5,6,6,6,6,5,5,5,6,6,6,6,5,5,5
Los Lagos,10.0,Purranque,10303,1458.8,6,6,6,6,5,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Los Lagos,10.0,Puyehue,10304,1597.9,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Los Lagos,10.0,Queilén,10207,332.9,3,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1
Los Lagos,10.0,Quellón,10208,3244,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
Los Lagos,10.0,Quemchi,10209,440.3,4,4,4,3,3,3,3,4,3,3,2,2,2,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Los Lagos,10.0,Quinchao,10210,160.7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4
Los Lagos,10.0,Río Negro,10305,1265.7,9,9,10,8,8,9,8,8,7,8,6,6,7,7,7,7,7,6,6,7,6,7,6,6,5,4,5,5,5,5,5,4,3,5,4,4,4,4,4,3,4,5,5,5,3,3,3
Los Lagos,10.0,San Juan de la Costa,10306,1517,5,4,4,6,7,4,3,3,3,3,4,5,3,3,3,3,3,5,5,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,3,2,1,2,2
Los Lagos,10.0,San Pablo,10307,637.3,6,6,6,6,5,6,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,4,4,4,3,2,3,3,3,4,4,3,2,3,3,2,2,3,2,2,2,3,3,3,1,2,1
Los Ríos,14.0,Corral,14102,767,10,10,15,18,13,7,7,9,7,7,7,7,6,6,6,6,6,7,8,6,5,5,5,5,5,4,5,4,5,5,6,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4
Los Ríos,14.0,Futrono,14202,2267.5,6,6,6,8,7,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1
Los Ríos,14.0,La Unión,14201,2137,7,7,7,6,5,7,6,7,7,7,6,5,7,6,6,7,7,6,4,5,5,5,5,5,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Los Ríos,14.0,Lago Ranco,14203,1763.3,10,10,9,13,11,6,6,6,6,6,7,7,6,5,5,5,6,6,6,5,4,5,5,5,4,4,5,4,4,5,5,4,4,5,5,5,4,5,4,4,5,5,5,5,4,4,4
Los Ríos,14.0,Lanco,14103,532.4,4,5,5,5,5,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
Los Ríos,14.0,Los Lagos,14104,1791.2,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,6,5,4,5,5,5,5,5,4,3,4,3,4,4,4,3,2,4,4,4,4,4,3,2,4,4,4,4,2,2,2
Los Ríos,14.0,Mariquina,14106,1320.5,5,5,6,6,5,5,5,5,4,5,4,4,4,4,4,4,5,4,4,5,4,4,4,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Los Ríos,14.0,Máfil,14105,583,10,10,10,9,9,8,7,8,7,8,6,6,7,7,7,7,8,7,6,7,5,7,6,6,5,3,4,4,4,4,5,4,2,4,4,4,4,4,3,2,4,4,4,4,2,2,2
Los Ríos,14.0,Paillaco,14107,896,7,7,7,7,7,6,6,6,6,6,5,5,6,6,6,6,6,5,5,5,5,5,4,4,3,3,3,3,4,4,4,3,2,3,3,3,3,4,3,2,3,4,3,4,2,2,2
Los Ríos,14.0,Panguipulli,14108,3292,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1
Los Ríos,14.0,Río Bueno,14204,2211.7,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,4,3,3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Los Ríos,14.0,Valdivia,14101,1016,7,7,7,8,6,7,6,7,6,6,5,4,6,6,6,6,6,5,4,5,4,4,4,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Magallanes y de la Antártica Chilena,12.0,Cabo de Hornos,12201,15578.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y de la Antártica Chilena,12.0,Laguna Blanca,12102,3695.6,25,22,27,26,25,20,20,21,18,26,22,21,20,21,20,21,24,21,23,16,15,14,12,12,9,8,7,7,7,7,7,6,5,6,7,9,3,4,3,2,4,5,5,6,3,3,3
Magallanes y de la Antártica Chilena,12.0,Natales,12401,49924.1,5,5,5,5,4,4,5,5,5,5,4,3,5,5,4,4,5,4,3,4,4,4,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,2,2,2
Magallanes y de la Antártica Chilena,12.0,Porvenir,12301,9707.4,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3
Magallanes y de la Antártica Chilena,12.0,Primavera,12302,4253.4,3,2,3,2,2,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
Magallanes y de la Antártica Chilena,12.0,Punta Arenas,12101,17846.3,6,6,6,6,5,7,7,7,7,7,6,5,7,7,7,7,7,6,5,6,5,5,5,5,4,3,4,4,4,4,4,4,3,4,5,5,3,3,3,2,3,3,3,3,3,3,2
Magallanes y de la Antártica Chilena,12.0,Río Verde,12103,17248,0,5,5,7,7,6,7,7,7,6,6,5,7,7,6,6,6,5,5,4,5,5,4,4,5,5,5,5,6,5,6,6,5,4,5,7,4,5,3,3,5,6,5,5,3,4,4
Magallanes y de la Antártica Chilena,12.0,San Gregorio,12104,6883.7,8,6,7,6,6,6,7,8,8,8,6,6,7,8,7,7,7,5,5,6,6,6,5,5,5,4,5,5,4,4,3,3,2,3,4,4,3,3,3,2,3,4,3,4,3,2,3
Magallanes y de la Antártica Chilena,12.0,Timaukel,12303,10758.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y de la Antártica Chilena,12.0,Torres del Paine,12402,6630,7,8,8,8,5,7,5,5,6,6,5,5,5,5,5,6,9,8,7,5,4,2,2,2,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0
Maule,7.0,Cauquenes,7201,2216,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,2,3,2,3,3,3,3,2,2,2
Maule,7.0,Chanco,7202,530,8,7,7,9,10,5,5,4,4,5,6,5,4,4,5,5,5,7,8,5,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,2,3,3
Maule,7.0,Colbún,7402,2899.9,5,5,5,6,5,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Maule,7.0,Constitución,7102,1344,6,6,6,6,5,5,5,5,5,5,5,4,5,5,5,5,6,5,4,5,4,4,4,4,3,2,3,3,3,3,3,3,2,3,4,4,3,3,3,2,3,4,3,4,2,2,2
Maule,7.0,Curepto,7103,1073.8,5,5,4,5,5,3,3,3,3,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2,3,2,2,1,1,1
Maule,7.0,Curicó,7301,1328,6,7,7,6,5,6,6,6,6,7,6,5,6,6,6,6,7,6,4,6,5,5,5,5,4,3,4,4,4,4,4,3,3,4,4,5,4,5,4,3,4,5,4,5,3,3,3
Maule,7.0,Empedrado,7104,565,6,6,7,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,6,5,5,4,4,4
Maule,7.0,Hualañé,7302,629,6,6,7,7,8,5,4,4,4,5,6,6,4,4,4,4,5,6,6,4,4,4,4,4,3,3,4,4,3,3,3,3,2,3,3,3,3,3,3,2,3,4,3,3,2,2,2
Maule,7.0,Licantén,7303,273,9,8,8,11,11,5,5,5,5,6,8,9,5,5,5,5,6,8,9,5,4,4,4,4,3,2,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,2,2,2
Maule,7.0,Linares,7401,1466,7,7,8,7,5,7,7,7,7,8,6,5,7,7,7,7,8,6,5,7,6,6,5,5,4,3,4,4,4,4,4,4,3,4,4,4,4,5,4,3,4,4,4,4,2,3,2
Maule,7.0,Longaví,7403,1454,14,14,12,15,13,13,11,10,10,12,11,9,11,10,9,10,13,11,10,11,9,9,8,8,6,4,6,6,6,6,6,4,4,6,6,6,6,6,5,4,6,6,6,6,3,3,3
Maule,7.0,Maule,7105,190,9,9,9,9,7,9,8,8,8,9,8,6,8,8,8,8,10,8,7,9,8,8,7,7,6,4,6,6,6,6,6,5,4,6,7,7,6,7,6,5,6,7,7,7,4,4,4
Maule,7.0,Molina,7304,1552,8,8,9,7,6,7,7,7,7,8,6,5,7,7,6,7,8,7,5,7,6,6,5,5,4,3,4,4,4,4,4,3,2,4,4,4,4,5,3,2,4,4,4,4,2,2,2
Maule,7.0,Parral,7404,1638,6,6,6,6,4,6,5,5,5,6,5,4,5,5,5,5,6,5,4,5,5,5,4,4,3,2,4,3,3,3,3,3,2,3,4,3,3,3,3,2,3,3,3,4,2,2,2
