Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Atacama,3.0,Tierra Amarilla,3103,11191,5,5,5,3,3,5,6,5,6,6,4,3,6,6,6,6,6,4,4,5,5,5,5,5,3,3,5,5,5,5,5,4,3,4,5,5,5,5,4,3,5,5,5,5,3,3,3
Atacama,3.0,Vallenar,3301,7084,6,7,6,6,5,6,6,6,6,7,5,5,6,6,6,6,7,5,5,6,6,6,6,6,4,4,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,4,3,3
Aysén del General Carlos Ibáñez del Campo,11.0,Chile Chico,11401,5737.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11.0,Cisnes,11202,16093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11.0,Cochrane,11301,8.599.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11.0,Coihaique,11101,7290.2,5,5,5,5,4,5,5,5,6,6,4,4,6,6,5,5,6,4,4,5,4,4,4,4,3,2,4,3,3,3,4,3,2,4,4,4,3,3,3,2,4,4,3,4,2,2,2
Aysén del General Carlos Ibáñez del Campo,11.0,Guaitecas,11203,620.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11.0,Lago Verde,11102,5422.3,7,6,6,5,5,5,4,4,4,5,3,4,4,4,5,4,5,3,4,4,3,4,2,3,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2,3,0,0,1
Aysén del General Carlos Ibáñez del Campo,11.0,Río Ibáñez,11402,5997.2,6,6,6,7,6,5,4,6,5,4,4,5,4,4,4,4,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Aysén del General Carlos Ibáñez del Campo,11.0,Tortel,11303,19710.6,4,3,3,3,1,3,2,2,2,1,2,1,2,2,2,1,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
