Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Atacama,3.0,Huasco,3304,1601.4,11264.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Atacama,3.0,Tierra Amarilla,3103,11191,14312.0,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0
Atacama,3.0,Vallenar,3301,7084,57009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11.0,Chile Chico,11401,5737.1,5121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11.0,Cisnes,11202,16093,5828.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11.0,Cochrane,11301,8.599.5,3685.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11.0,Coihaique,11101,7290.2,61210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11.0,Guaitecas,11203,620.6,1599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11.0,Lago Verde,11102,5422.3,920.0,5,4,4,4,4,3,3,3,3,4,2,3,2,3,3,3,3,2,2,3,2,2,2,2,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0
Aysén del General Carlos Ibáñez del Campo,11.0,Río Ibáñez,11402,5997.2,2699.0,5,5,4,6,5,4,3,4,3,3,3,3,3,3,3,3,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Aysén del General Carlos Ibáñez del Campo,11.0,Tortel,11303,19710.6,572.0,4,3,3,3,1,3,1,2,2,1,2,1,2,2,2,1,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8.0,Alto Biobío,8314,2124.6,6775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8.0,Antuco,8302,1884.1,4306.0,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,4,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,6,5,5,5
Biobío,8.0,Arauco,8202,956.1,38679.0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0
Biobío,8.0,Cabrero,8303,639.8,30725.0,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Biobío,8.0,Cañete,8203,1089.2,37003.0,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biobío,8.0,Chiguayante,8103,71.5,91180.0,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,0,0,0
Biobío,8.0,Concepción,8101,221.6,238092.0,4,4,4,4,3,4,4,4,4,4,3,2,4,4,4,4,4,3,2,3,3,3,2,2,1,1,2,2,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1
Biobío,8.0,Contulmo,8204,638.8,6330.0,5,5,5,7,6,4,4,3,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,2,3,3,3,2,2,2,2,3,2,2,2,2
Biobío,8.0,Coronel,8102,279.4,125829.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8.0,Curanilahue,8205,994.3,33892.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0
Biobío,8.0,Florida,8104,608.6,11841.0,6,6,7,7,7,5,5,5,5,6,6,6,4,5,5,5,6,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,2,2
Biobío,8.0,Hualpén,8112,53.5,97273.0,7,7,7,6,6,7,7,7,7,7,6,6,7,7,7,7,7,6,5,6,5,5,4,4,3,3,4,4,4,3,4,3,3,4,4,4,4,4,3,3,4,3,3,3,2,2,2
Biobío,8.0,Hualqui,8105,530.5,26201.0,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,2,2,3,2,1,3,3,3,3,3,2,2,1,3,3,3,0,1,1
Biobío,8.0,Laja,8304,339.8,23873.0,8,8,8,7,6,8,8,8,9,9,7,6,8,8,8,9,10,8,7,9,8,8,7,7,6,5,7,7,7,7,7,6,6,7,8,8,8,8,7,5,7,7,6,7,6,6,6
Biobío,8.0,Lebu,8201,561.4,27100.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0
Biobío,8.0,Los Alamos,8206,599.1,22524.0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
