Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
Codigo region,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,15.0,15.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Comuna,Antofagasta,Calama,María Elena,Mejillones,Ollagüe,San Pedro de Atacama,Sierra Gorda,Taltal,Tocopilla,Arica,Camarones,General Lagos,Putre,Alto del Carmen,Caldera,Chañaral,Copiapó,Diego de Almagro,Freirina,Huasco,Tierra Amarilla,Vallenar,Chile Chico,Cisnes,Cochrane,Coihaique,Guaitecas,Lago Verde,Río Ibáñez,Tortel,Alto Biobío,Antuco,Arauco,Cabrero,Cañete,Chiguayante,Concepción,Contulmo,Coronel,Curanilahue,Florida,Hualpén,Hualqui,Laja,Lebu,Los Alamos,Los Angeles,Lota,Mulchén,Nacimiento,Negrete,Penco,Quilaco,Quilleco,San Pedro de la Paz,San Rosendo,Santa Bárbara,Santa Juana,Talcahuano,Tirúa,Tomé,Tucapel,Yumbel,Andacollo,Canela,Combarbalá,Coquimbo,Illapel,La Higuera,La Serena,Los Vilos,Monte Patria,Ovalle,Paiguano,Punitaqui,Río Hurtado,Salamanca,Vicuña,Angol,Carahue,Cholchol,Collipulli,Cunco,Curacautín,Curarrehue,Ercilla,Freire,Galvarino,Gorbea,Lautaro,Loncoche,Lonquimay,Los Sauces,Lumaco,Melipeuco,Nueva Imperial,Padre Las Casas,Perquenco,Pitrufquén,Pucón,Purén,Renaico,Saavedra,Temuco,Teodoro Schmidt,Toltén,Traiguén,Victoria,Vilcún,Villarrica,Chimbarongo,Chépica,Codegua,Coinco,Coltauco,Doñihue,Graneros,La Estrella,Las Cabras,Litueche,Lolol,Machalí,Malloa,Marchihue,Mostazal,Nancagua,Navidad,Olivar,Palmilla,Paredones,Peralillo,Peumo,Pichidegua,Pichilemu,Placilla,Pumanque,Quinta de Tilcoco,Rancagua,Rengo,Requínoa,San Fernando,San Vicente,Santa Cruz,Ancud,Calbuco,Castro,Chaitén,Chonchi,Cochamó,Curaco de Vélez,Dalcahue,Fresia,Frutillar,Futaleufú,Hualaihué,Llanquihue,Los Muermos,Maullín,Osorno,Palena,Puerto Montt,Puerto Octay,Puerto Varas,Puqueldón,Purranque,Puyehue,Queilén,Quellón,Quemchi,Quinchao,Río Negro,San Juan de la Costa,San Pablo,Corral,Futrono,La Unión,Lago Ranco,Lanco,Los Lagos,Mariquina,Máfil,Paillaco,Panguipulli,Río Bueno,Valdivia,Cabo de Hornos,Laguna Blanca,Natales,Porvenir,Primavera,Punta Arenas,Río Verde,San Gregorio,Timaukel,Torres del Paine,Cauquenes,Chanco,Colbún,Constitución,Curepto,Curicó,Empedrado,Hualañé,Licantén,Linares,Longaví,Maule,Molina,Parral,Pelarco,Pelluhue,Pencahue,Rauco,Retiro,Romeral,Río Claro,Sagrada Familia,San Clemente,San Javier,San Rafael,Talca,Teno,Vichuquén,Villa Alegre,Yerbas Buenas,Alhué,Buin,Calera de Tango,Cerrillos,Cerro Navia,Colina,Conchalí,Curacaví,El Bosque,El Monte,Estación Central,Huechuraba,Independencia,Isla de Maipo,La Cisterna,La Florida,La Granja,La Pintana,La Reina,Lampa,Las Condes,Lo Barnechea,Lo Espejo,Lo Prado,Macul,Maipú,María Pinto,Melipilla,Padre Hurtado,Paine,Pedro Aguirre Cerda,Peñaflor,Peñalolén,Pirque,Providencia,Pudahuel,Puente Alto,Quilicura,Quinta Normal,Recoleta,Renca,San Bernardo,San Joaquín,San José de Maipo,San Miguel,San Pedro,San Ramón,Santiago,Talagante,Tiltil,Vitacura,Ñuñoa,Alto Hospicio,Camiña,Colchane,Huara,Iquique,Pica,Pozo Almonte,Algarrobo,Cabildo,Calera,Calle Larga,Cartagena,Casablanca,Catemu,Concón,El Quisco,El Tabo,Hijuelas,Isla de Pascua,Juan Fernández,La Cruz,La Ligua,Limache,Llaillay,Los Andes,Nogales,Olmué,Panquehue,Papudo,Petorca,Puchuncaví,Putaendo,Quillota,Quilpué,Quintero,Rinconada,San Antonio,San Esteban,San Felipe,Santa María,Santo Domingo,Valparaíso,Villa Alemana,Viña del Mar,Zapallar,Bulnes,Chillán,Chillán Viejo,Cobquecura,Coelemu,Coihueco,El Carmen,Ninhue,Pemuco,Pinto,Portezuelo,Quillón,Quirihue,Ranquil,San Carlos,San Fabián,San Ignacio,San Nicolás,Treguaco,Yungay,Ñiquén
Codigo comuna,2101,2201,2302,2102,2202,2203,2103,2104,2301,15101,15102,15202,15201,3302,3102,3201,3101,3202,3303,3304,3103,3301,11401,11202,11301,11101,11203,11102,11402,11303,8314,8302,8202,8303,8203,8103,8101,8204,8102,8205,8104,8112,8105,8304,8201,8206,8301,8106,8305,8306,8307,8107,8308,8309,8108,8310,8311,8109,8110,8207,8111,8312,8313,4103,4202,4302,4102,4201,4104,4101,4203,4303,4301,4105,4304,4305,4204,4106,9201,9102,9121,9202,9103,9203,9104,9204,9105,9106,9107,9108,9109,9205,9206,9207,9110,9111,9112,9113,9114,9115,9208,9209,9116,9101,9117,9118,9210,9211,9119,9120,6303,6302,6102,6103,6104,6105,6106,6202,6107,6203,6304,6108,6109,6204,6110,6305,6205,6111,6306,6206,6307,6112,6113,6201,6308,6309,6114,6101,6115,6116,6301,6117,6310,10202,10102,10201,10401,10203,10103,10204,10205,10104,10105,10402,10403,10107,10106,10108,10301,10404,10101,10302,10109,10206,10303,10304,10207,10208,10209,10210,10305,10306,10307,14102,14202,14201,14203,14103,14104,14106,14105,14107,14108,14204,14101,12201,12102,12401,12301,12302,12101,12103,12104,12303,12402,7201,7202,7402,7102,7103,7301,7104,7302,7303,7401,7403,7105,7304,7404,7106,7203,7107,7305,7405,7306,7108,7307,7109,7406,7110,7101,7308,7309,7407,7408,13502,13402,13403,13102,13103,13301,13104,13503,13105,13602,13106,13107,13108,13603,13109,13110,13111,13112,13113,13302,13114,13115,13116,13117,13118,13119,13504,13501,13604,13404,13121,13605,13122,13202,13123,13124,13201,13125,13126,13127,13128,13401,13129,13203,13130,13505,13131,13101,13601,13303,13132,13120,1107,1402,1403,1404,1101,1405,1401,5602,5402,5502,5302,5603,5102,5702,5103,5604,5605,5503,5201,5104,5504,5401,5802,5703,5301,5506,5803,5704,5403,5404,5105,5705,5501,5801,5107,5303,5601,5304,5701,5706,5606,5101,5804,5109,5405,16102,16101,16103,16202,16203,16302,16104,16204,16105,16106,16205,16107,16201,16206,16301,16304,16108,16305,16207,16109,16303
Superficie_km2,30718.1,15596.9,12197,3803.9,2964,23439,12886,20405.1,4038.8,4799.4,3927,2244.4,5902.5,5939,4666.6,5772,16681.3,18664,3207.9,1601.4,11191,7084,5737.1,16093,8.599.5,7290.2,620.6,5422.3,5997.2,19710.6,2124.6,1884.1,956.1,639.8,1089.2,71.5,221.6,638.8,279.4,994.3,608.6,53.5,530.5,339.8,561.4,599.1,1748.2,135.8,1925.3,934.9,156.5,107.6,1123.7,1121.8,112.5,92.4,1254.9,731.2,92.3,624.4,494.5,914.9,727,310,2196.6,2257.5,1429,2629,4158.2,1892.8,1823.8,4366.9,3835,1495,1339,2180,3445,7610,1194.4,1340.6,427.9,1295.9,1906.5,1664,1170.7,499.7,935.2,568.2,694.5,901.1,976.8,3914.2,849.8,1119,1107.3,732.5,400.7,330.7,580.7,1248.5,464.9,267.4,400.8,464,649.9,860.4,908,1256,1420.9,1291.1,498,503,287,98,225,78,113,435,749,619,597,2597,113,660,524,111,300,45,237,562,282.6,153.1,320,749.1,146.9,441,93,260.3,755,673,2441,497.8,419.5,1752.4,590.8,472.5,8470.5,1362.1,3910.8,80,1239.4,1278.1,831.4,1280,2787.7,420.8,1245.8,860.8,951,2763.7,1673,1795.7,4064.9,97.3,1458.8,1597.9,332.9,3244,440.3,160.7,1265.7,1517,637.3,767,2267.5,2137,1763.3,532.4,1791.2,1320.5,583,896,3292,2211.7,1016,15578.7,3695.6,49924.1,9707.4,4253.4,17846.3,17248,6883.7,10758.9,6630,2216,530,2899.9,1344,1073.8,1328,565,629,273,1466,1454,190,1552,1638,332,371,956.8,309,827,1597,431,548.8,4504,1313,263.5,232,618.4,426,190,262,845,214,73.3,21,11,971.2,10.7,693,14.2,118,15,44.8,7,189,10,70.2,10,30.6,23,452,99,1024,7,7,12.9,135.5,393.5,1345,80.8,820,10,69,54,445.3,14.3,197,88,58,13,16,24,155,9.7,4994.8,10.0,788,7,23.2,126,653,28.3,16.9,572.9,2200.2,4015.6,10474.6,2242.1,8934.3,13765.8,176,1455,60.5,321.7,246,953,361.6,76,51,99,267,163.6,149.4,78,1163,294,349.1,1248,405,232,121.9,64.3,1517,300,1474,302,536.9,148,122.5,405,681,186,166.3,536,401.6,97,121.6,288,425.4,511.2,291.8,570.3,342.3,1776.6,664.3,401.2,562.7,1164,282.3,423,589,248.3,874,1568.3,363.6,490.5,313.1,823.5,493.1
Poblacion,425725.0,190336.0,6814.0,14776.0,287.0,10434.0,1746.0,13657.0,28079.0,247552.0,1233.0,810.0,2515.0,5729.0,19426.0,13164.0,171766.0,14358.0,7681.0,11264.0,14312.0,57009.0,5121.0,5828.0,3685.0,61210.0,1599.0,920.0,2699.0,572.0,6775.0,4306.0,38679.0,30725.0,37003.0,91180.0,238092.0,6330.0,125829.0,33892.0,11841.0,97273.0,26201.0,23873.0,27100.0,22524.0,218515.0,45750.0,31041.0,27944.0,10429.0,49865.0,4179.0,10032.0,145906.0,3611.0,14592.0,14779.0,158345.0,11019.0,58729.0,15205.0,22132.0,11791.0,9546.0,13884.0,256735.0,32801.0,4450.0,249656.0,23374.0,32527.0,121269.0,4675.0,12165.0,4372.0,29110.0,29741.0,56058.0,25486.0,12341.0,26148.0,18055.0,18178.0,7802.0,8458.0,25446.0,12633.0,15148.0,40746.0,24739.0,11049.0,7517.0,10050.0,6265.0,33777.0,82110.0,7223.0,26096.0,29782.0,12188.0,10833.0,12793.0,302931.0,15786.0,10055.0,19314.0,35467.0,30766.0,59103.0,37696.0,15925.0,14096.0,7831.0,21263.0,22700.0,36504.0,3114.0,26749.0,6765.0,7289.0,59913.0,14163.0,7632.0,27462.0,19141.0,6904.0,14624.0,13299.0,6349.0,11848.0,14952.0,20743.0,17882.0,9164.0,3531.0,13877.0,265211.0,63710.0,30371.0,78642.0,50617.0,41096.0,42458.0,36744.0,47607.0,5020.0,16013.0,4006.0,4066.0,15069.0,12656.0,20223.0,2806.0,9525.0,18621.0,17817.0,14894.0,173410.0,1827.0,269398.0,9192.0,48620.0,4201.0,21080.0,11787.0,5543.0,29309.0,8783.0,8298.0,14275.0,7639.0,10553.0,5447.0,15261.0,39538.0,10292.0,17652.0,20518.0,23250.0,7389.0,20798.0,35991.0,32925.0,176774.0,1983.0,264.0,23782.0,7323.0,694.0,141984.0,211.0,681.0,282.0,1021.0,44143.0,9331.0,22565.0,50348.0,9426.0,163626.0,4206.0,10222.0,6989.0,101073.0,32810.0,60000.0,49800.0,44544.0,9083.0,8092.0,8601.0,11248.0,21071.0,16170.0,14753.0,19469.0,46292.0,49451.0,9959.0,236724.0,30850.0,4381.0,17512.0,19200.0,7405.0,109641.0,28525.0,88956.0,142465.0,180353.0,139195.0,36430.0,172000.0,40014.0,206792.0,112528.0,142065.0,40171.0,100434.0,402433.0,122557.0,189335.0,100252.0,126898.0,330759.0,124076.0,103865.0,104403.0,134635.0,578605.0,14926.0,141612.0,74188.0,82766.0,107803.0,101058.0,266798.0,30433.0,157749.0,253139.0,645909.0,254694.0,136368.0,190075.0,160847.0,334836.0,103485.0,18644.0,133059.0,11953.0,86510.0,503147.0,81838.0,21477.0,96774.0,250192.0,129999.0,1375.0,1583.0,3000.0,223463.0,5958.0,17395.0,15174.0,20663.0,53591.0,16482.0,25357.0,29170.0,15213.0,45889.0,17742.0,14338.0,19099.0,8277.0,1033.0,25321.0,37739.0,49931.0,26533.0,68093.0,23490.0,19266.0,7633.0,6201.0,10558.0,20071.0,17645.0,97572.0,167085.0,36135.0,11263.0,96761.0,20643.0,83494.0,16367.0,11934.0,315732.0,139310.0,361371.0,7994.0,22607.0,198624.0,33827.0,5275.0,16845.0,28375.0,12334.0,5414.0,8639.0,11880.0,4940.0,18777.0,12192.0,6261.0,56252.0,4654.0,16624.0,12172.0,5696.0,18596.0,11567.0
2020-02-26,6,5,1,4,0,0,3,0,3,5,1,0,4,1,9,3,6,1,0,2,3,5,0,0,0,5,0,1,0,0,0,3,3,2,3,1,6,2,3,1,0,2,2,0,0,1,5,4,0,1,2,3,0,0,2,0,0,1,4,1,3,3,2,4,1,2,6,5,6,7,5,2,6,3,3,0,3,3,4,4,1,0,4,3,2,0,1,1,1,3,2,1,1,1,0,3,2,0,2,9,1,0,1,7,1,0,2,1,1,6,3,2,1,0,1,2,3,0,3,2,0,2,0,1,0,1,3,0,0,1,1,0,1,4,1,2,0,5,3,4,3,2,4,5,3,4,1,2,0,0,1,2,2,0,1,0,1,1,5,0,5,3,5,1,2,3,0,2,1,1,1,2,1,1,0,3,2,1,3,2,0,1,5,1,6,0,7,5,3,0,6,0,4,0,0,2,0,1,5,1,4,1,1,3,5,0,2,2,3,2,2,3,0,1,0,0,1,2,3,0,5,0,2,2,0,0,3,2,2,1,5,2,3,1,1,5,4,2,2,2,4,1,1,4,2,11,5,1,1,2,3,0,5,1,3,1,3,4,2,12,4,3,4,2,3,2,4,1,2,3,2,1,10,3,4,8,4,4,0,0,3,7,2,1,10,2,2,1,6,5,2,5,6,8,2,2,0,0,4,5,1,3,3,3,1,6,1,9,1,5,4,7,2,6,2,4,2,6,8,4,10,6,2,5,0,4,2,1,0,0,1,1,0,0,0,6,4,1,1,0,0,1,1
2020-02-27,6,5,1,4,0,0,3,0,4,5,0,0,3,1,8,3,6,1,0,2,3,6,0,0,0,5,0,1,1,0,0,3,3,2,3,1,7,2,3,1,0,2,2,0,0,1,5,4,0,1,2,3,0,0,3,0,0,1,4,1,3,3,2,4,1,2,6,5,6,7,5,2,6,3,3,0,3,3,4,4,1,0,4,3,2,0,1,1,1,3,2,1,1,0,0,3,2,0,2,9,1,1,1,7,1,1,2,1,1,6,3,2,2,0,1,2,3,0,3,3,0,2,1,1,0,0,3,0,0,1,2,0,1,3,1,1,0,5,3,4,3,2,5,5,3,4,1,2,0,0,1,2,2,0,1,0,1,1,5,0,5,3,5,1,2,3,0,2,1,1,1,2,1,1,0,3,2,1,3,2,0,1,4,1,6,0,6,5,3,0,6,1,4,0,0,2,0,1,5,1,4,1,1,3,5,0,2,2,2,2,2,3,0,1,0,0,1,2,3,0,5,1,2,2,0,0,3,2,2,1,5,2,3,1,1,5,4,2,2,2,4,1,1,4,2,11,5,1,1,2,3,0,5,1,3,1,3,4,2,12,4,3,3,2,3,2,4,1,2,3,2,1,10,3,3,8,4,4,0,0,3,7,2,0,10,2,3,1,6,5,2,5,6,8,2,2,0,0,4,5,1,3,3,3,1,6,1,9,1,5,4,6,2,6,2,4,2,6,8,4,10,6,2,5,0,5,2,1,0,0,1,1,0,0,0,6,4,1,1,0,0,1,0
2020-02-28,6,5,1,4,0,1,3,0,4,5,1,0,3,1,9,3,6,1,0,2,3,6,0,0,0,5,0,1,1,0,0,3,3,2,3,1,7,2,3,1,0,2,2,0,0,1,5,4,0,1,2,3,0,0,3,0,0,1,4,1,3,3,2,4,1,2,6,5,6,8,5,2,6,3,3,0,3,3,4,4,1,0,4,3,2,0,1,1,1,3,2,1,1,1,0,2,2,0,2,9,0,0,1,7,1,1,1,2,1,7,3,2,1,0,1,2,3,0,3,2,0,2,1,1,0,1,3,0,0,1,1,0,1,4,1,1,0,5,3,4,3,2,5,5,3,5,1,2,0,0,1,2,2,0,1,0,1,1,5,0,5,3,5,1,2,3,0,2,1,1,1,2,1,2,0,3,2,1,3,2,0,1,4,1,6,0,7,5,3,0,6,2,4,0,0,2,0,1,5,0,4,1,1,3,5,0,2,2,2,2,2,2,0,1,0,0,1,3,2,0,5,1,2,2,0,0,3,2,2,1,5,2,3,1,2,5,4,2,2,3,5,0,1,4,2,11,5,1,1,2,4,0,5,1,3,1,3,4,2,12,4,3,3,2,3,2,4,1,2,3,2,1,11,3,4,8,4,4,0,0,3,8,2,0,10,2,3,1,6,5,2,5,6,8,2,2,0,0,4,5,1,3,3,3,1,6,1,9,1,5,4,7,2,6,2,5,2,5,8,4,10,7,2,5,0,4,2,1,0,0,1,1,0,0,0,6,4,1,1,0,0,2,0
2020-02-29,6,5,1,4,0,1,2,0,3,5,1,0,3,1,12,2,5,1,0,2,2,5,0,0,0,4,0,1,1,0,0,3,3,2,3,1,5,2,3,1,0,2,2,0,1,1,4,3,0,1,1,3,1,0,3,0,0,1,3,1,3,3,2,4,1,2,6,5,5,7,5,2,6,3,3,0,3,3,3,3,1,0,3,3,2,0,1,1,1,2,2,1,1,1,0,2,2,0,2,9,1,0,3,5,1,1,2,1,1,6,3,2,2,0,1,2,3,0,4,2,0,2,0,1,1,0,4,0,0,2,1,0,1,5,1,1,0,4,3,3,3,2,4,5,3,4,1,3,0,0,1,2,2,0,1,0,1,2,4,0,4,3,4,1,2,3,0,2,1,1,1,3,1,2,1,2,2,1,3,2,0,1,4,1,6,0,7,5,3,0,6,3,3,0,0,2,0,1,5,1,4,0,1,4,5,0,2,1,2,2,3,2,0,1,0,0,0,3,2,0,4,0,2,2,0,0,3,3,3,1,5,2,3,1,2,5,3,2,2,2,5,1,1,4,2,7,5,1,1,2,3,0,5,1,3,1,3,4,3,7,3,3,3,2,3,2,4,1,5,2,2,1,7,3,3,6,4,4,0,0,3,7,2,0,12,2,3,1,7,5,2,5,8,10,2,2,0,0,4,5,1,3,3,4,1,7,1,10,1,5,4,7,2,6,2,4,2,5,7,4,9,7,2,4,0,6,2,1,0,0,1,1,0,0,0,5,4,2,1,0,0,1,1
2020-03-01,5,4,1,3,0,1,2,0,3,5,2,1,5,1,12,2,5,0,0,2,2,5,0,0,0,3,0,1,1,0,0,3,2,1,2,1,3,2,3,1,0,2,2,0,1,1,3,3,0,1,1,3,1,0,2,0,0,2,3,1,2,3,2,4,1,2,5,4,5,5,4,2,5,3,3,0,2,2,3,3,1,0,3,3,1,0,1,1,1,2,2,1,1,0,0,2,2,0,2,7,1,0,3,3,1,1,1,1,0,5,2,2,2,0,1,2,3,0,3,2,0,2,0,1,0,0,3,0,0,2,1,0,0,4,1,1,0,3,3,3,2,1,3,4,3,3,1,3,0,0,1,2,2,0,1,0,1,2,3,0,3,3,4,1,1,3,0,2,1,1,1,4,1,1,1,2,2,1,2,2,0,1,4,1,5,0,7,4,3,0,5,3,3,0,0,2,0,1,4,1,3,0,1,4,3,0,2,1,1,2,4,2,0,1,0,0,0,3,2,0,3,0,2,1,0,0,3,2,1,1,4,2,3,1,2,4,3,2,2,2,4,1,1,4,1,7,5,1,1,2,3,0,5,2,3,1,3,4,3,6,3,3,2,2,2,1,3,1,5,2,2,0,5,3,3,5,3,4,0,0,3,6,2,0,9,2,2,1,6,5,2,4,6,7,2,2,0,0,4,5,0,2,3,4,1,6,1,8,1,4,4,6,1,5,1,4,2,4,6,3,7,6,1,3,0,6,1,1,0,0,1,1,0,0,0,4,3,2,1,0,0,1,1
