Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17
Antofagasta,2,Antofagasta,2101,30683.5,425725.0,5.607148400000001,5.672822502000001,5.82185257,5.442298739,5.756304559,5.225751697,4.927807953,5.864112512,5.861561591,5.760009698999999,5.723976722000001,5.8633753639999995,5.295596508,4.572609117,5.861813773,5.776517944,6.046420951,4.7854122210000005,5.475741997999999,4.799330747,6.748758487000001,7.006527642999999,4.957943744,3.665674103,5.036488846,4.699204656,4.530213385,5.262007758999999,5.3183317169999995,5.332221145,5.375790495,5.509844811000001,5.011493695,4.462007759
Antofagasta,2,Calama,2201,15533.2,190336.0,4.628190051,4.570592732,4.633658709,4.408708691,4.613665765,4.354639539,3.645830883,4.695783841,4.7556744680000005,4.743943314,4.718364107,4.823121251,4.429730683,3.794866518,4.815182877,5.016229566,5.193108315,3.974979419,4.507350347,3.863959779,5.172086322,5.307979537,5.575149947000001,4.015082912,5.58411737,5.137392685,4.630747971,5.28622251,5.362372103999999,5.366370693,5.323650476,5.396007292,4.814330236,4.187463248
Antofagasta,2,María Elena,2302,12330.1,6814.0,1.358715596,1.4940366969999999,1.61146789,1.259174312,1.2165137609999999,0.9834862390000001,0.8866972479999999,1.20733945,1.496330275,1.530733945,1.283944954,1.22706422,1.1674311929999999,1.098165138,1.478440367,1.591743119,1.319266055,0.988073394,1.031192661,0.982568807,1.355504587,1.818348624,1.971559633,1.194954128,1.5477064219999999,1.3866972480000002,1.281192661,1.59266055,1.887155963,1.7082568809999998,1.4821100919999999,1.356880734,1.209174312,0.990366972
Antofagasta,2,Mejillones,2102,3576.07,14776.0,3.052673425,3.0840787119999997,3.240707613,2.999801232,3.103557941,2.393559928,2.135758299,3.0715563510000004,3.039157225,3.092029418,3.104353011,3.0620155039999997,2.41284039,2.046114093,3.030212681,2.961836613,3.0091433110000003,2.06996621,2.089047903,1.9610415419999998,3.0335917310000005,3.306300934,2.671834625,2.117869211,2.7362353410000004,2.2593917709999998,1.938183264,3.157821507,3.1981713380000003,3.309083681,3.2886106139999995,3.3971377460000003,2.423176307,1.9576624930000002
Antofagasta,2,Ollagüe,2202,2925.54,287.0,0.058823529000000006,0.20588235300000002,0.294117647,0.088235294,0.235294118,0.147058824,0.323529412,0.294117647,0.41176470600000004,0.294117647,0.176470588,0.264705882,0.235294118,0.20588235300000002,0.058823529000000006,0.264705882,0.117647059,0.147058824,0.088235294,0.264705882,0.058823529000000006,0.323529412,0.41176470600000004,0.117647059,0.558823529,0.117647059,0.088235294,0.117647059,0.558823529,0.558823529,0.41176470600000004,0.264705882,1.029411765,0.264705882
Antofagasta,2,San Pedro de Atacama,2203,23602.2,10434.0,0.098720293,0.11882998199999999,0.119744059,0.140767824,0.126142596,0.12797075,0.08866544800000001,0.115173675,0.157221207,0.16179159,0.13345521,0.150822669,0.142595978,0.138025594,0.14990859199999998,0.169104205,0.167276051,0.168190128,0.155393053,0.140767824,0.142595978,0.232175503,0.178244973,0.123400366,0.222120658,0.228519196,0.225776965,0.13071298,0.116087751,0.171846435,0.173674589,0.164533821,0.20292504600000003,0.155393053
Antofagasta,2,Sierra Gorda,2103,12883.0,1746.0,2.647108434,2.7108433730000003,2.707108434,2.5122891569999997,2.532168675,2.266385542,2.111445783,2.770843373,3.005542169,2.8836144580000003,2.642048193,2.533373494,2.286506024,2.214939759,2.938795181,3.070722892,2.561927711,2.331325301,2.294096386,2.134578313,2.7433734939999996,3.114819277,3.2073493980000003,2.161807229,2.97,2.6572289159999998,2.553253012,3.113253012,3.453253012,3.173373494,2.974216867,2.96313253,2.669156627,2.503012048
Antofagasta,2,Taltal,2104,20412.1,13657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,2,Tocopilla,2301,4120.83,28079.0,2.9973816280000003,3.0796421560000002,3.1313550080000003,2.917084879,3.096661575,2.735544403,2.4318132230000002,2.970979708,3.05193105,3.0903338419999997,3.014401047,3.161248091,2.890682959,2.525638228,2.960069823,2.933231508,3.17259437,2.573859917,2.7804931269999997,2.445559677,3.124809077,3.3290421119999998,3.542003055,2.511237181,3.876063714,3.575823696,3.1926685580000003,3.2960942610000004,3.407156884,3.4339952000000005,3.516910321,3.518655902,3.026838316,2.73205324
Arica y Parinacota,15,Arica,15101,4799.66,247552.0,4.579591583,4.816129567,4.942030486,4.9144022860000005,3.508056499,3.2547220610000003,3.01538812,3.6198533680000002,3.681550824,3.729827686,3.7863474439999996,3.8716344960000004,3.5756772430000003,3.175109767,3.90953525,3.743558943,3.954394831,3.257165935,3.586736807,3.133273962,4.0503686519999995,4.043492668,4.155579488,3.157008533,4.295025267,4.077706901,3.7765305280000003,4.1283033719999995,4.086219037,4.093612791,4.1678195680000005,4.314037776,4.619024936000001,3.978419352
Arica y Parinacota,15,Camarones,15102,3922.22,1233.0,0.153846154,0.307692308,0.47692307700000003,0.238461538,0.23076923100000002,0.146153846,0.215384615,0.146153846,0.17692307699999998,0.17692307699999998,0.292307692,0.2,0.2,0.20769230800000002,0.330769231,0.284615385,0.307692308,0.284615385,0.153846154,0.16923076899999998,0.153846154,0.384615385,0.276923077,0.115384615,0.269230769,0.5,0.453846154,0.37692307700000005,0.46153846200000004,0.630769231,0.7615384620000001,0.36923076899999996,0.346153846,0.292307692
Arica y Parinacota,15,General Lagos,15202,2257.22,810.0,0.33846153799999995,0.43076923100000003,0.507692308,0.492307692,0.47692307700000003,0.446153846,0.6,0.676923077,0.569230769,0.676923077,0.984615385,0.46153846200000004,0.446153846,0.846153846,0.661538462,0.584615385,0.7538461540000001,0.47692307700000003,0.415384615,0.4,0.507692308,0.507692308,0.8307692309999999,0.415384615,0.446153846,0.630769231,0.676923077,0.292307692,0.384615385,0.307692308,0.46153846200000004,0.215384615,0.2,0.36923076899999996
Arica y Parinacota,15,Putre,15201,5885.18,2515.0,1.91598916,2.100271003,2.279132791,2.16802168,1.72899729,1.498644986,0.9403794040000001,1.8292682930000002,1.52303523,1.907859079,2.422764228,1.8373983740000002,1.780487805,1.6205962059999999,2.8915989160000004,1.964769648,2.406504065,1.869918699,1.4092140919999998,1.273712737,2.0487804880000002,1.9186991869999999,2.170731707,1.314363144,2.214092141,1.91598916,1.598915989,2.075880759,2.661246612,2.436314363,2.753387534,1.81300813,2.4498644990000003,2.178861789
