Fecha,Fecha,Casos confirmados
2020-05-29,2020-05-29,4292
2020-05-29,2020-05-29,4053
2020-05-30,2020-05-30,3078
2020-05-30,2020-05-30,3713
2020-05-31,2020-05-31,2778
2020-05-31,2020-05-31,3338
2020-06-01,2020-06-01,6245
2020-06-01,2020-06-01,4412
2020-06-02,2020-06-02,5282
2020-06-02,2020-06-02,2823
2020-06-03,2020-06-03,4594
2020-06-03,2020-06-03,2281
2020-06-04,2020-06-04,4556
2020-06-04,2020-06-04,1917
2020-06-05,2020-06-05,4013
2020-06-05,2020-06-05,1692
2020-06-06,2020-06-06,2140
2020-06-06,2020-06-06,1040
2020-06-07,2020-06-07,1542
2020-06-07,2020-06-07,600
2020-06-08,2020-06-08,2774
2020-06-08,2020-06-08,581
2020-06-09,2020-06-09,1268
2020-06-09,2020-06-09,259
2020-06-10,2020-06-10,543
2020-06-10,2020-06-10,111
2020-06-11,2020-06-11,0
2020-06-11,2020-06-11,0
