Casos,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11
Notificación,0,0,0,0,0,0,1,0,0,1,1,2,4,1,2,6,2,10,15,13,25,45,49,77,143,104,147,166,160,148,208,271,346,362,379,264,285,358,337,345,426,410,314,234,446,479,457,407,237,282,210,543,476,559,553,514,421,313,564,603,684,687,686,493,406,1123,1256,1527,1578,1049,1480,1455,2807,2916,2903,3068,3245,2437,1961,4616,4223,3806,3893,3611,2835,2558,5043,5020,4665,2766,5151,3367,2836,5008,5096,4701,4043,4292,3078,2778,6245,5282,4594,4556,4013,2140,1542,2774,1268,543,0
Inicio de Sintomas,1,1,3,14,0,2,3,0,15,11,10,9,33,10,14,24,33,60,51,68,114,151,170,274,249,257,294,341,300,293,375,314,329,334,340,310,276,371,317,437,365,374,353,320,395,363,371,404,435,326,359,517,460,585,507,522,510,477,850,664,732,793,968,993,989,1590,1494,1541,1815,2577,2389,2524,3451,3059,3095,3247,3734,3547,3883,4693,4213,3783,3689,4669,4143,4055,5036,4202,4882,3780,4472,4053,3721,5037,3834,4004,3971,4053,3713,3338,4412,2823,2281,1917,1692,1040,600,581,259,111,0
