Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE9,SE10,SE11,SE12,SE13,SE14,SE15
Metropolitana,13,La Florida,13110,402433.0,-,2,12,27,51,44,29
Metropolitana,13,La Granja,13111,122557.0,-,-,1,6,13,17,9
Metropolitana,13,La Pintana,13112,189335.0,-,-,2,6,13,21,13
Metropolitana,13,La Reina,13113,100252.0,1,-,12,14,11,13,3
Metropolitana,13,Lampa,13302,126898.0,-,-,-,8,11,12,6
Metropolitana,13,Las Condes,13114,330759.0,-,6,58,120,64,31,17
Metropolitana,13,Lo Barnechea,13115,124076.0,-,2,14,51,25,17,7
Metropolitana,13,Lo Espejo,13116,103865.0,-,-,1,4,6,24,13
Metropolitana,13,Lo Prado,13117,104403.0,-,-,2,4,18,12,7
Metropolitana,13,Macul,13118,134635.0,-,1,3,11,19,12,3
Metropolitana,13,Maipu,13119,578605.0,-,-,12,45,62,64,20
Metropolitana,13,Maria Pinto,13504,14926.0,-,-,-,-,-,-,-
Metropolitana,13,Melipilla,13501,141612.0,-,1,1,4,6,4,1
Metropolitana,13,Nunoa,13120,250192.0,1,-,25,48,35,35,27
Metropolitana,13,Padre Hurtado,13604,74188.0,-,1,-,5,9,5,6
Metropolitana,13,Paine,13404,82766.0,-,1,-,2,-,4,1
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,-,-,2,4,13,13,22
Metropolitana,13,Penaflor,13605,101058.0,-,1,4,3,8,4,5
Metropolitana,13,Penalolen,13122,266798.0,-,2,9,25,32,33,30
Metropolitana,13,Pirque,13202,30433.0,-,-,1,2,2,1,4
Metropolitana,13,Providencia,13123,157749.0,-,3,28,59,18,21,7
Metropolitana,13,Pudahuel,13124,253139.0,1,1,1,18,18,24,15
Metropolitana,13,Puente Alto,13201,645909.0,-,-,7,48,81,123,63
Metropolitana,13,Quilicura,13125,254694.0,-,2,3,16,24,34,15
Metropolitana,13,Quinta Normal,13126,136368.0,-,2,4,12,21,32,13
Metropolitana,13,Recoleta,13127,190075.0,-,-,5,14,15,23,16
Metropolitana,13,Renca,13128,160847.0,-,-,4,7,10,6,15
Metropolitana,13,San Bernardo,13401,334836.0,1,1,6,20,31,52,29
Metropolitana,13,San Joaquin,13129,103485.0,-,-,-,13,21,13,11
Metropolitana,13,San Jose de Maipo,13203,18644.0,-,-,1,1,1,-,1
Metropolitana,13,San Miguel,13130,133059.0,-,-,3,22,19,22,20
Metropolitana,13,San Pedro,13505,11953.0,-,-,-,-,-,-,-
Metropolitana,13,San Ramon,13131,86510.0,-,-,-,1,11,7,1
Metropolitana,13,Santiago,13101,503147.0,2,-,27,91,83,117,55
Metropolitana,13,Talagante,13601,81838.0,-,-,-,4,8,7,2
Metropolitana,13,Tiltil,13303,21477.0,-,-,-,2,1,1,-
Metropolitana,13,Vitacura,13132,96774.0,-,7,29,45,27,15,4
O’Higgins,06,Chepica,06302,15925.0,-,-,-,-,-,-,-
O’Higgins,06,Chimbarongo,06303,37696.0,-,-,-,1,1,-,-
O’Higgins,06,Codegua,06102,14096.0,-,-,-,-,-,-,-
