Region,Codigo region,Comuna,Codigo comuna,Poblacion,Publicacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19
Coquimbo,4.0,Los Vilos,4203.0,23374.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,4.0,Monte Patria,4303.0,32527.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,4.0,Ovalle,4301.0,121269.0,2020-04-21,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,4.0,Paiguano,4105.0,4675.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,4.0,Punitaqui,4304.0,12165.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,4.0,Rio Hurtado,4305.0,4372.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coquimbo,4.0,Salamanca,4204.0,29110.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
Coquimbo,4.0,Vicuna,4106.0,29741.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Algarrobo,5602.0,15174.0,2020-04-21,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Cabildo,5402.0,20663.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Valparaíso,5.0,Calera,5502.0,53591.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,4.0,3.0,0.0,0.0,0.0
Valparaíso,5.0,Calle Larga,5302.0,16482.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
