Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
2020-01-08,7,3,0,0,1,0,0,2,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,8,1,0,1,1,0,0,0,1,1,2,0,1,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,6,0,0,3,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,6,2,0,2,0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,3,2,0,0,0,0,3,0,1,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,3,0,2,2,0,1,0,0,0,3,0,23,0,0,6,1,0,1,0,6,2,0,0,0,7,0,3,0,1,0,2,5,0,13,3,8,1,0,4,1,6,1,0,4,0,4,7,0,0,3,2,0,0,0,0,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,2,1,0,4,0,2,1,8,0,6,0,2,7,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
2020-01-09,6,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,3,0,1,1,0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,1,3,0,3,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,6,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,30,0,5,4,1,1,2,0,6,1,0,1,2,5,0,0,0,1,3,3,3,0,4,0,4,0,2,3,1,4,1,0,8,0,2,8,1,0,4,5,0,0,0,0,5,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,3,1,0,2,1,1,0,4,0,9,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-01-10,5,3,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,8,0,2,1,0,0,0,0,1,0,6,0,1,1,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,6,0,0,5,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,1,1,1,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,5,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,2,6,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,11,0,0,0,0,0,2,0,2,1,1,0,0,5,0,2,0,19,0,0,8,0,1,2,2,6,0,0,0,2,4,0,2,0,1,0,0,5,0,5,1,5,1,2,5,1,5,0,1,8,0,1,9,3,0,1,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,3,1,1,0,0,0,0,1,2,2,1,1,4,0,4,0,11,0,10,0,1,4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-01-11,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,1,5,0,0,5,1,2,1,0,2,0,1,1,1,1,0,0,1,1,0,0,1,0,4,1,2,1,2,5,0,3,1,1,3,0,0,15,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-01-12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,18,0,0,2,1,0,3,0,4,0,2,0,1,4,0,0,1,1,1,0,5,1,5,2,4,1,1,0,1,4,1,0,6,0,0,7,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,12,3,0,0,0,0,1,12,0,0,0,0,1,5,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,5,2,20,1,7,3,0,2,1,1,0,0,15,2,1,2,0,4,0,0,2,0,1,0,10,0,0,1,1,0,0,0,13,3,2,11,0,2,4,0,0,0,2,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,3,0,0,2,0,0,0,1,18,1,0,0,4,2,1,0,0,0,0,0,0,2,1,1,0,0,6,0,1,1,0,0,0,0,0,1,1,1,0,0,0,17,2,0,1,2,5,2,0,5,0,1,0,0,0,0,0,0,0,0,0,1,11,0,12,0,0,1,1,0,0,1,0,0,1,0,0,0,2,1,1,0,1,0,0,0,1,0,10,0,0,0,7,2,1,0,4,0,7,0,1,0,9,0,1,1,6,0,0,1,1,1,0,0,0,3,1,0,13,1,0,0,0,0,2,1,0,1,2,4,0,4,0,3,1,39,0,2,10,2,4,1,0,7,0,2,1,1,8,0,6,2,0,2,3,3,0,13,1,5,1,5,0,1,7,2,0,6,0,3,9,3,0,1,5,0,0,0,0,5,0,0,0,1,3,0,0,0,0,0,1,0,2,0,1,0,1,2,5,0,3,0,0,2,1,0,8,7,2,0,9,0,3,0,20,8,15,0,1,8,0,0,0,0,0,0,0,0,1,2,0,1,3,0,0,1,0,2,0
2020-01-14,5,6,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,2,12,0,2,0,0,2,0,0,1,0,7,0,1,0,0,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,3,0,0,7,0,0,4,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,1,0,1,2,0,1,0,2,0,1,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,2,7,0,0,0,1,2,0,1,1,0,1,0,0,0,4,0,1,2,1,0,0,1,0,0,1,0,1,0,3,0,7,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,15,0,0,5,2,2,1,0,9,1,0,1,0,4,0,5,0,0,2,2,5,0,6,4,4,0,0,4,0,0,2,1,6,0,0,8,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,7,4,0,0,4,0,2,0,8,4,6,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-01-15,4,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,1,0,1,1,0,1,0,1,6,3,0,0,0,2,0,0,0,0,0,0,5,0,1,3,1,0,0,0,9,0,0,3,0,0,2,0,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,7,0,0,4,1,2,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,5,0,7,0,1,0,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,2,0,1,0,1,2,0,0,0,8,1,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,1,5,0,0,0,1,0,2,1,17,0,0,2,1,2,2,0,3,0,1,2,0,5,0,4,0,0,0,0,1,0,9,2,8,2,5,3,1,3,1,1,6,0,2,8,1,0,1,5,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,3,0,1,0,0,2,0,1,4,1,1,1,4,0,0,0,9,1,6,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-01-16,5,4,0,0,0,0,0,4,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,4,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,4,1,0,3,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,2,0,2,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,1,1,4,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,6,0,0,1,0,0,1,0,1,0,0,4,1,2,1,2,0,11,0,1,9,0,0,1,0,4,0,0,3,1,5,0,1,1,1,2,0,5,0,4,0,4,0,2,3,0,3,1,0,5,0,3,3,1,0,2,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,3,4,0,0,3,0,2,0,6,2,6,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,8,2,0,0,1,1,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,13,0,3,1,0,0,0,0,0,0,6,0,1,0,0,1,1,1,1,0,1,0,3,0,0,0,1,0,0,0,5,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,0,1,0,1,10,0,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,5,0,0,1,1,0,4,0,0,0,6,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,1,0,0,3,0,2,2,9,1,2,6,1,1,0,0,3,0,1,1,2,3,0,3,2,0,1,1,3,0,6,0,3,0,0,4,0,1,1,0,3,0,6,11,0,0,4,1,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,15,4,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,1,0,2,1,1,0,1,1,11,0,2,6,3,2,3,2,3,0,1,0,0,5,0,0,1,0,1,2,3,0,4,1,3,0,0,4,2,2,1,0,5,0,2,8,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,2,0,19,0,1,4,2,1,0,0,4,2,1,0,2,4,0,0,1,1,2,0,3,0,4,2,2,3,0,3,0,2,3,0,3,0,4,9,3,0,3,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,10,1,1,0,0,1,3,13,0,0,1,1,0,9,0,0,0,0,2,2,0,0,1,3,1,0,0,0,0,1,0,1,4,18,0,8,3,0,4,0,1,2,0,14,0,1,1,2,2,0,0,2,0,1,0,12,0,4,1,0,0,0,0,7,4,0,9,1,1,13,0,0,0,1,0,8,1,0,1,2,1,0,1,0,0,3,2,1,0,0,2,0,1,1,1,2,3,1,0,0,17,0,0,1,3,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,21,3,1,2,2,2,1,1,2,0,0,0,0,1,2,0,0,1,0,0,0,10,0,12,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,3,9,0,0,0,5,1,1,0,1,0,3,0,0,1,6,0,0,3,3,1,0,0,0,1,2,0,0,0,1,0,8,1,0,0,0,0,1,0,0,3,1,1,1,1,0,1,0,22,1,0,8,3,1,2,1,3,0,1,1,1,5,0,6,1,0,2,2,5,0,8,2,4,1,2,4,3,3,1,1,3,3,5,11,2,0,1,2,1,0,0,0,5,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,1,0,0,0,0,1,0,9,7,0,0,7,0,4,0,21,2,17,0,1,12,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,0,0,0,2
2020-01-21,4,2,0,0,0,0,0,7,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2,6,0,4,2,0,0,0,0,0,0,8,2,0,0,1,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,4,1,0,7,1,1,4,0,0,0,2,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,4,0,0,0,0,1,0,0,3,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,4,1,0,1,1,1,2,0,0,0,6,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,7,0,0,0,0,0,0,0,1,2,2,2,0,3,0,3,2,28,0,1,6,1,1,0,0,1,1,0,1,3,4,0,3,0,2,0,1,2,0,6,0,7,1,1,2,2,4,1,1,6,0,3,8,0,0,2,3,1,0,0,0,8,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,5,1,1,0,3,0,2,0,10,4,4,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-22,9,1,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,3,0,1,0,1,3,0,0,0,1,0,0,0,1,0,0,0,4,0,1,0,1,0,0,0,4,0,0,2,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,1,0,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,7,3,0,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,9,0,0,0,1,2,0,0,0,0,3,0,0,0,2,0,1,4,0,0,0,1,0,0,0,0,0,1,1,1,10,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,19,0,2,1,1,1,5,0,4,0,2,3,1,8,0,2,0,0,2,0,2,0,8,1,6,0,5,2,2,2,0,1,7,0,1,9,0,0,3,5,1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,3,0,0,2,0,1,0,5,0,3,0,1,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-23,10,2,0,0,0,1,0,10,1,0,0,0,0,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,7,0,0,3,1,0,3,0,0,0,1,1,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,5,0,0,0,4,1,1,0,1,0,3,0,0,0,6,0,0,2,1,0,0,0,0,0,0,0,1,1,2,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,24,0,1,5,0,1,2,0,2,1,2,1,1,6,0,2,2,0,1,2,5,0,7,4,6,1,4,3,0,6,1,0,6,0,3,9,0,0,2,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,2,0,0,0,3,1,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
