Grupo de edad,fecha,Casos confirmados
>=90,2020-05-13,38
<=39,2020-05-14,9
40-49,2020-05-14,22
50-59,2020-05-14,27
60-69,2020-05-14,63
70-79,2020-05-14,102
80-89,2020-05-14,107
>=90,2020-05-14,38
<=39,2020-05-15,10
40-49,2020-05-15,22
50-59,2020-05-15,31
60-69,2020-05-15,65
70-79,2020-05-15,110
80-89,2020-05-15,117
>=90,2020-05-15,39
<=39,2020-05-16,10
40-49,2020-05-16,24
50-59,2020-05-16,32
60-69,2020-05-16,73
70-79,2020-05-16,118
80-89,2020-05-16,123
>=90,2020-05-16,41
<=39,2020-05-17,10
40-49,2020-05-17,25
50-59,2020-05-17,35
60-69,2020-05-17,78
70-79,2020-05-17,126
80-89,2020-05-17,132
>=90,2020-05-17,44
<=39,2020-05-18,10
40-49,2020-05-18,28
50-59,2020-05-18,40
60-69,2020-05-18,82
70-79,2020-05-18,133
80-89,2020-05-18,136
>=90,2020-05-18,49
<=39,2020-05-19,11
40-49,2020-05-19,30
50-59,2020-05-19,47
60-69,2020-05-19,83
70-79,2020-05-19,141
80-89,2020-05-19,145
>=90,2020-05-19,52
<=39,2020-05-20,11
40-49,2020-05-20,31
50-59,2020-05-20,51
60-69,2020-05-20,92
70-79,2020-05-20,152
80-89,2020-05-20,152
>=90,2020-05-20,55
<=39,2020-05-21,12
40-49,2020-05-21,32
50-59,2020-05-21,57
60-69,2020-05-21,99
70-79,2020-05-21,173
80-89,2020-05-21,159
>=90,2020-05-21,57
<=39,2020-05-22,13
40-49,2020-05-22,33
50-59,2020-05-22,58
60-69,2020-05-22,106
70-79,2020-05-22,183
80-89,2020-05-22,178
>=90,2020-05-22,59
<=39,2020-05-23,14
40-49,2020-05-23,35
50-59,2020-05-23,64
60-69,2020-05-23,112
70-79,2020-05-23,193
80-89,2020-05-23,193
>=90,2020-05-23,62
<=39,2020-05-24,16
40-49,2020-05-24,38
50-59,2020-05-24,67
60-69,2020-05-24,121
70-79,2020-05-24,210
80-89,2020-05-24,200
>=90,2020-05-24,66
<=39,2020-05-25,16
40-49,2020-05-25,41
50-59,2020-05-25,69
60-69,2020-05-25,128
70-79,2020-05-25,225
80-89,2020-05-25,208
>=90,2020-05-25,74
<=39,2020-05-26,16
40-49,2020-05-26,42
50-59,2020-05-26,76
60-69,2020-05-26,137
70-79,2020-05-26,239
80-89,2020-05-26,218
>=90,2020-05-26,78
