Codigo region,Codigo comuna,Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
1,1405.0,5958,5,2020/04/10,1,Tarapacá,14,Tamarugal,1405,Pica,83.92077878482712
1,1405.0,5958,-,2020/04/08,1,Tarapacá,14,Tamarugal,1405,Pica,-
1,1405.0,5958,-,2020/04/03,1,Tarapacá,14,Tamarugal,1405,Pica,-
1,1405.0,5958,-,2020/04/06,1,Tarapacá,14,Tamarugal,1405,Pica,-
1,1405.0,5958,-,2020/03/30,1,Tarapacá,14,Tamarugal,1405,Pica,-
1,1401.0,17395,-,2020/04/01,1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,-
1,1401.0,17395,-,2020/04/10,1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,-
1,1401.0,17395,-,2020/04/08,1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,-
1,1401.0,17395,-,2020/04/03,1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,-
1,1401.0,17395,-,2020/04/06,1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,-
1,1401.0,17395,-,2020/03/30,1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,-
2,2101.0,425725,32,2020/04/01,2,Antofagasta,21,Antofagasta,2101,Antofagasta,7.516589347583534
2,2101.0,425725,82,2020/04/10,2,Antofagasta,21,Antofagasta,2101,Antofagasta,19.261260203182808
2,2101.0,425725,60,2020/04/08,2,Antofagasta,21,Antofagasta,2101,Antofagasta,14.093605026719127
2,2101.0,425725,44,2020/04/03,2,Antofagasta,21,Antofagasta,2101,Antofagasta,10.33531035292736
2,2101.0,425725,54,2020/04/06,2,Antofagasta,21,Antofagasta,2101,Antofagasta,12.684244524047214
2,2101.0,425725,29,2020/03/30,2,Antofagasta,21,Antofagasta,2101,Antofagasta,6.811909096247578
2,2201.0,190336,-,2020/04/01,2,Antofagasta,22,El Loa,2201,Calama,-
2,2201.0,190336,13,2020/04/10,2,Antofagasta,22,El Loa,2201,Calama,6.830026899798251
2,2201.0,190336,8,2020/04/08,2,Antofagasta,22,El Loa,2201,Calama,4.203093476798924
2,2201.0,190336,5,2020/04/03,2,Antofagasta,22,El Loa,2201,Calama,2.6269334229993273
2,2201.0,190336,7,2020/04/06,2,Antofagasta,22,El Loa,2201,Calama,3.6777067921990585
2,2201.0,190336,-,2020/03/30,2,Antofagasta,22,El Loa,2201,Calama,-
