Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
190336,8,2020/04/08,2,Antofagasta,22,El Loa,2201,Calama,4.203093476798924
190336,5,2020/04/03,2,Antofagasta,22,El Loa,2201,Calama,2.6269334229993273
190336,7,2020/04/06,2,Antofagasta,22,El Loa,2201,Calama,3.6777067921990585
190336,-,2020/03/30,2,Antofagasta,22,El Loa,2201,Calama,-
6814,-,2020/04/01,2,Antofagasta,23,Tocopilla,2302,María Elena,-
6814,-,2020/04/10,2,Antofagasta,23,Tocopilla,2302,María Elena,-
6814,-,2020/04/08,2,Antofagasta,23,Tocopilla,2302,María Elena,-
6814,-,2020/04/03,2,Antofagasta,23,Tocopilla,2302,María Elena,-
6814,-,2020/04/06,2,Antofagasta,23,Tocopilla,2302,María Elena,-
6814,-,2020/03/30,2,Antofagasta,23,Tocopilla,2302,María Elena,-
14776,-,2020/04/01,2,Antofagasta,21,Antofagasta,2102,Mejillones,-
14776,6,2020/04/10,2,Antofagasta,21,Antofagasta,2102,Mejillones,40.60638873849486
14776,-,2020/04/08,2,Antofagasta,21,Antofagasta,2102,Mejillones,-
14776,-,2020/04/03,2,Antofagasta,21,Antofagasta,2102,Mejillones,-
14776,-,2020/04/06,2,Antofagasta,21,Antofagasta,2102,Mejillones,-
14776,-,2020/03/30,2,Antofagasta,21,Antofagasta,2102,Mejillones,-
287,-,2020/04/01,2,Antofagasta,22,El Loa,2202,Ollagüe,-
287,-,2020/04/10,2,Antofagasta,22,El Loa,2202,Ollagüe,-
287,-,2020/04/08,2,Antofagasta,22,El Loa,2202,Ollagüe,-
287,-,2020/04/03,2,Antofagasta,22,El Loa,2202,Ollagüe,-
287,-,2020/04/06,2,Antofagasta,22,El Loa,2202,Ollagüe,-
287,-,2020/03/30,2,Antofagasta,22,El Loa,2202,Ollagüe,-
10434,-,2020/04/01,2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,-
10434,4,2020/04/10,2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,38.336208548974504
10434,4,2020/04/08,2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,38.336208548974504
10434,-,2020/04/03,2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,-
10434,4,2020/04/06,2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,38.336208548974504
10434,-,2020/03/30,2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,-
1746,-,2020/04/01,2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,-
1746,-,2020/04/10,2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,-
1746,-,2020/04/08,2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,-
1746,-,2020/04/03,2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,-
1746,-,2020/04/06,2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,-
1746,-,2020/03/30,2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,-
13657,-,2020/04/01,2,Antofagasta,21,Antofagasta,2104,Taltal,-
