Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos activos
Metropolitana,13,Lampa,13302,126898.0,2020-04-13,18.0
Metropolitana,13,Las Condes,13114,330759.0,2020-04-13,47.0
Metropolitana,13,Lo Barnechea,13115,124076.0,2020-04-13,23.0
Metropolitana,13,Lo Espejo,13116,103865.0,2020-04-13,37.0
Metropolitana,13,Lo Prado,13117,104403.0,2020-04-13,18.0
Metropolitana,13,Macul,13118,134635.0,2020-04-13,15.0
Metropolitana,13,Maipu,13119,578605.0,2020-04-13,81.0
Metropolitana,13,Maria Pinto,13504,14926.0,2020-04-13,0.0
Metropolitana,13,Melipilla,13501,141612.0,2020-04-13,5.0
Metropolitana,13,Nunoa,13120,250192.0,2020-04-13,60.0
Metropolitana,13,Padre Hurtado,13604,74188.0,2020-04-13,11.0
Metropolitana,13,Paine,13404,82766.0,2020-04-13,5.0
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,2020-04-13,34.0
Metropolitana,13,Penaflor,13605,101058.0,2020-04-13,9.0
Metropolitana,13,Penalolen,13122,266798.0,2020-04-13,61.0
Metropolitana,13,Pirque,13202,30433.0,2020-04-13,5.0
Metropolitana,13,Providencia,13123,157749.0,2020-04-13,27.0
Metropolitana,13,Pudahuel,13124,253139.0,2020-04-13,39.0
Metropolitana,13,Puente Alto,13201,645909.0,2020-04-13,179.0
Metropolitana,13,Quilicura,13125,254694.0,2020-04-13,49.0
Metropolitana,13,Quinta Normal,13126,136368.0,2020-04-13,45.0
Metropolitana,13,Recoleta,13127,190075.0,2020-04-13,39.0
Metropolitana,13,Renca,13128,160847.0,2020-04-13,20.0
Metropolitana,13,San Bernardo,13401,334836.0,2020-04-13,81.0
Metropolitana,13,San Joaquin,13129,103485.0,2020-04-13,24.0
Metropolitana,13,San Jose de Maipo,13203,18644.0,2020-04-13,1.0
Metropolitana,13,San Miguel,13130,133059.0,2020-04-13,40.0
Metropolitana,13,San Pedro,13505,11953.0,2020-04-13,0.0
Metropolitana,13,San Ramon,13131,86510.0,2020-04-13,8.0
Metropolitana,13,Santiago,13101,503147.0,2020-04-13,169.0
Metropolitana,13,Talagante,13601,81838.0,2020-04-13,9.0
Metropolitana,13,Tiltil,13303,21477.0,2020-04-13,1.0
Metropolitana,13,Vitacura,13132,96774.0,2020-04-13,19.0
Metropolitana,13,Total,,8125072.0,2020-04-13,1595.0
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624.0,2020-04-13,3.0
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743.0,2020-04-13,0.0
