Region,Codigo region,Poblacion,fecha,numero
Tarapacá,01,382773,2020-04-14,-
Antofagasta,02,691854,2020-04-14,95
Atacama,03,314709,2020-04-14,22
Coquimbo,04,836096,2020-04-14,-
Valparaíso,05,1960170,2020-04-14,92
Metropolitana,13,8125072,2020-04-14,1656
O’Higgins,06,991063,2020-04-14,30
Maule,07,1131939,2020-04-14,160
Ñuble,16,511551,2020-04-14,-
Biobío,08,1663696,2020-04-14,218
Araucanía,09,1014343,2020-04-14,148
Los Ríos,14,405835,2020-04-14,67
Los Lagos,10,891440,2020-04-14,131
Aysén,11,107297,2020-04-14,12
Magallanes,12,178362,2020-04-14,35
Arica y Parinacota,15,252110,2020-04-15,24
Tarapacá,01,382773,2020-04-15,-
Antofagasta,02,691854,2020-04-15,117
Atacama,03,314709,2020-04-15,25
Coquimbo,04,836096,2020-04-15,-
Valparaíso,05,1960170,2020-04-15,385
Metropolitana,13,8125072,2020-04-15,2694
O’Higgins,06,991063,2020-04-15,30
Maule,07,1131939,2020-04-15,-
Ñuble,16,511551,2020-04-15,-
Biobío,08,1663696,2020-04-15,311
Araucanía,09,1014343,2020-04-15,218
Los Ríos,14,405835,2020-04-15,67
Los Lagos,10,891440,2020-04-15,137
Aysén,11,107297,2020-04-15,8
Magallanes,12,178362,2020-04-15,63
Arica y Parinacota,15,252110,2020-04-16,198
Tarapacá,01,382773,2020-04-16,30
Antofagasta,02,691854,2020-04-16,117
Atacama,03,314709,2020-04-16,29
Coquimbo,04,836096,2020-04-16,-
Valparaíso,05,1960170,2020-04-16,240
Metropolitana,13,8125072,2020-04-16,4356
O’Higgins,06,991063,2020-04-16,58
Maule,07,1131939,2020-04-16,469
Ñuble,16,511551,2020-04-16,110
Biobío,08,1663696,2020-04-16,408
Araucanía,09,1014343,2020-04-16,246
Los Ríos,14,405835,2020-04-16,49
Los Lagos,10,891440,2020-04-16,139
Aysén,11,107297,2020-04-16,16
Magallanes,12,178362,2020-04-16,86
Arica y Parinacota,15,252110,2020-04-17,131
Tarapacá,01,382773,2020-04-17,-
Antofagasta,02,691854,2020-04-17,143
Atacama,03,314709,2020-04-17,37
Coquimbo,04,836096,2020-04-17,-
Valparaíso,05,1960170,2020-04-17,246
Metropolitana,13,8125072,2020-04-17,3670
O’Higgins,06,991063,2020-04-17,50
Maule,07,1131939,2020-04-17,367
Ñuble,16,511551,2020-04-17,159
Biobío,08,1663696,2020-04-17,80
Araucanía,09,1014343,2020-04-17,220
Los Ríos,14,405835,2020-04-17,71
Los Lagos,10,891440,2020-04-17,198
Aysén,11,107297,2020-04-17,8
Magallanes,12,178362,2020-04-17,69
Arica y Parinacota,15,252110,2020-04-18,-
Tarapacá,01,382773,2020-04-18,60
Antofagasta,02,691854,2020-04-18,200
Atacama,03,314709,2020-04-18,50
Coquimbo,04,836096,2020-04-18,-
Valparaíso,05,1960170,2020-04-18,330
Metropolitana,13,8125072,2020-04-18,2744
O’Higgins,06,991063,2020-04-18,-
Maule,07,1131939,2020-04-18,176
Ñuble,16,511551,2020-04-18,76
Biobío,08,1663696,2020-04-18,751
Araucanía,09,1014343,2020-04-18,169
Los Ríos,14,405835,2020-04-18,91
Los Lagos,10,891440,2020-04-18,315
Aysén,11,107297,2020-04-18,8
Magallanes,12,178362,2020-04-18,48
Arica y Parinacota,15,252110,2020-04-19,155
Tarapacá,01,382773,2020-04-19,0
Antofagasta,02,691854,2020-04-19,129
Atacama,03,314709,2020-04-19,31
Coquimbo,04,836096,2020-04-19,-
Valparaíso,05,1960170,2020-04-19,166
Metropolitana,13,8125072,2020-04-19,3475
O’Higgins,06,991063,2020-04-19,0
Maule,07,1131939,2020-04-19,0
Ñuble,16,511551,2020-04-19,127
Biobío,08,1663696,2020-04-19,358
Araucanía,09,1014343,2020-04-19,122
Los Ríos,14,405835,2020-04-19,0
Los Lagos,10,891440,2020-04-19,96
Aysén,11,107297,2020-04-19,6
Magallanes,12,178362,2020-04-19,93
Arica y Parinacota,15,252110,2020-04-20,48
Tarapacá,01,382773,2020-04-20,0
Antofagasta,02,691854,2020-04-20,197
Atacama,03,314709,2020-04-20,33
Coquimbo,04,836096,2020-04-20,-
Valparaíso,05,1960170,2020-04-20,177
Metropolitana,13,8125072,2020-04-20,3276
O’Higgins,06,991063,2020-04-20,72
Maule,07,1131939,2020-04-20,328
Ñuble,16,511551,2020-04-20,149
Biobío,08,1663696,2020-04-20,214
Araucanía,09,1014343,2020-04-20,376
Los Ríos,14,405835,2020-04-20,121
Los Lagos,10,891440,2020-04-20,139
Aysén,11,107297,2020-04-20,0
Magallanes,12,178362,2020-04-20,48
Arica y Parinacota,15,252110,2020-04-21,52
Tarapacá,01,382773,2020-04-21,30
Antofagasta,02,691854,2020-04-21,147
Atacama,03,314709,2020-04-21,33
Coquimbo,04,836096,2020-04-21,-
Valparaíso,05,1960170,2020-04-21,142
Metropolitana,13,8125072,2020-04-21,2126
O’Higgins,06,991063,2020-04-21,65
Maule,07,1131939,2020-04-21,188
Ñuble,16,511551,2020-04-21,73
Biobío,08,1663696,2020-04-21,216
Araucanía,09,1014343,2020-04-21,206
Los Ríos,14,405835,2020-04-21,58
Los Lagos,10,891440,2020-04-21,149
Aysén,11,107297,2020-04-21,4
Magallanes,12,178362,2020-04-21,41
Arica y Parinacota,15,252110,2020-04-22,0
Tarapacá,01,382773,2020-04-22,59
Antofagasta,02,691854,2020-04-22,152
Atacama,03,314709,2020-04-22,47
Coquimbo,04,836096,2020-04-22,29
Valparaíso,05,1960170,2020-04-22,384
Metropolitana,13,8125072,2020-04-22,3917
O’Higgins,06,991063,2020-04-22,0
Maule,07,1131939,2020-04-22,724
Ñuble,16,511551,2020-04-22,221
Biobío,08,1663696,2020-04-22,340
Araucanía,09,1014343,2020-04-22,176
Los Ríos,14,405835,2020-04-22,54
Los Lagos,10,891440,2020-04-22,209
Aysén,11,107297,2020-04-22,4
Magallanes,12,178362,2020-04-22,49
Arica y Parinacota,15,252110,2020-04-23,169
Tarapacá,01,382773,2020-04-23,30
Antofagasta,02,691854,2020-04-23,146
Atacama,03,314709,2020-04-23,57
Coquimbo,04,836096,2020-04-23,22
Valparaíso,05,1960170,2020-04-23,90
Metropolitana,13,8125072,2020-04-23,3712
O’Higgins,06,991063,2020-04-23,86
Maule,07,1131939,2020-04-23,663
Ñuble,16,511551,2020-04-23,189
Biobío,08,1663696,2020-04-23,468
Araucanía,09,1014343,2020-04-23,370
Los Ríos,14,405835,2020-04-23,67
Los Lagos,10,891440,2020-04-23,335
Aysén,11,107297,2020-04-23,21
Magallanes,12,178362,2020-04-23,0
Arica y Parinacota,15,252110,2020-04-24,85
Tarapacá,01,382773,2020-04-24,203
Antofagasta,02,691854,2020-04-24,166
Atacama,03,314709,2020-04-24,77
Coquimbo,04,836096,2020-04-24,44
Valparaíso,05,1960170,2020-04-24,293
Metropolitana,13,8125072,2020-04-24,4376
O’Higgins,06,991063,2020-04-24,72
Maule,07,1131939,2020-04-24,606
Ñuble,16,511551,2020-04-24,0
Biobío,08,1663696,2020-04-24,340
Araucanía,09,1014343,2020-04-24,306
Los Ríos,14,405835,2020-04-24,87
Los Lagos,10,891440,2020-04-24,324
Aysén,11,107297,2020-04-24,48
Magallanes,12,178362,2020-04-24,93
Arica y Parinacota,15,252110,2020-04-25,90
Tarapacá,01,382773,2020-04-25,118
Antofagasta,02,691854,2020-04-25,217
Atacama,03,314709,2020-04-25,46
Coquimbo,04,836096,2020-04-25,42
Valparaíso,05,1960170,2020-04-25,262
Metropolitana,13,8125072,2020-04-25,4218
O’Higgins,06,991063,2020-04-25,0
Maule,07,1131939,2020-04-25,254
Ñuble,16,511551,2020-04-25,371
Biobío,08,1663696,2020-04-25,354
Araucanía,09,1014343,2020-04-25,347
Los Ríos,14,405835,2020-04-25,77
Los Lagos,10,891440,2020-04-25,406
Aysén,11,107297,2020-04-25,30
Magallanes,12,178362,2020-04-25,113
Arica y Parinacota,15,252110,2020-04-26,73
Tarapacá,01,382773,2020-04-26,58
Antofagasta,02,691854,2020-04-26,214
Atacama,03,314709,2020-04-26,54
Coquimbo,04,836096,2020-04-26,72
Valparaíso,05,1960170,2020-04-26,201
Metropolitana,13,8125072,2020-04-26,4313
O’Higgins,06,991063,2020-04-26,195
Maule,07,1131939,2020-04-26,349
Ñuble,16,511551,2020-04-26,91
Biobío,08,1663696,2020-04-26,404
Araucanía,09,1014343,2020-04-26,273
Los Ríos,14,405835,2020-04-26,99
Los Lagos,10,891440,2020-04-26,302
Aysén,11,107297,2020-04-26,13
Magallanes,12,178362,2020-04-26,52
Arica y Parinacota,15,252110,2020-04-27,146
Tarapacá,01,382773,2020-04-27,58
Antofagasta,02,691854,2020-04-27,180
Atacama,03,314709,2020-04-27,56
Coquimbo,04,836096,2020-04-27,0
Valparaíso,05,1960170,2020-04-27,167
Metropolitana,13,8125072,2020-04-27,3289
O’Higgins,06,991063,2020-04-27,30
Maule,07,1131939,2020-04-27,535
Ñuble,16,511551,2020-04-27,90
Biobío,08,1663696,2020-04-27,174
Araucanía,09,1014343,2020-04-27,246
Los Ríos,14,405835,2020-04-27,56
Los Lagos,10,891440,2020-04-27,207
Aysén,11,107297,2020-04-27,0
Magallanes,12,178362,2020-04-27,26
Arica y Parinacota,15,252110,2020-04-28,80
Tarapacá,01,382773,2020-04-28,57
Antofagasta,02,691854,2020-04-28,181
Atacama,03,314709,2020-04-28,73
Coquimbo,04,836096,2020-04-28,148
Valparaíso,05,1960170,2020-04-28,184
Metropolitana,13,8125072,2020-04-28,2975
O’Higgins,06,991063,2020-04-28,95
Maule,07,1131939,2020-04-28,255
Ñuble,16,511551,2020-04-28,59
Biobío,08,1663696,2020-04-28,234
Araucanía,09,1014343,2020-04-28,218
Los Ríos,14,405835,2020-04-28,54
Los Lagos,10,891440,2020-04-28,225
Aysén,11,107297,2020-04-28,29
Magallanes,12,178362,2020-04-28,63
Arica y Parinacota,15,252110,2020-04-29,61
Tarapacá,01,382773,2020-04-29,111
Antofagasta,02,691854,2020-04-29,198
Atacama,03,314709,2020-04-29,112
Coquimbo,04,836096,2020-04-29,74
Valparaíso,05,1960170,2020-04-29,169
Metropolitana,13,8125072,2020-04-29,4349
O’Higgins,06,991063,2020-04-29,105
Maule,07,1131939,2020-04-29,58
Ñuble,16,511551,2020-04-29,104
Biobío,08,1663696,2020-04-29,230
Araucanía,09,1014343,2020-04-29,275
Los Ríos,14,405835,2020-04-29,98
Los Lagos,10,891440,2020-04-29,390
Aysén,11,107297,2020-04-29,53
Magallanes,12,178362,2020-04-29,67
