Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
Codigo region,15,01,02,03,04,05,13,06,07,16,08,09,14,10,11,12
Poblacion,252110,382773,691854,314709,836096,1960170,8125072,991063,1131939,511551,1663696,1014343,405835,891440,107297,178362
2020-04-09,70,-,182,57,-,301,5383,68,397,364,592,124,-,341,10,73
2020-04-10,-,-,128,52,-,249,3158,-,219,-,149,148,91,199,-,24
2020-04-11,-,-,107,60,-,248,2105,74,-,259,281,126,-,178,,46
2020-04-12,103,-,175,25,-,273,3861,-,341,189,469,184,-,225,7,45
2020-04-13,-,-,103,20,-,223,1850,74,113,65,,232,-,39,-,45
2020-04-14,93,-,95,22,-,92,1656,30,160,-,218,148,67,131,12,35
2020-04-15,24,-,117,25,-,385,2694,30,-,-,311,218,67,137,8,63
