Region,Codigo region,Comuna,Codigo comuna,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Arica y Parinacota,15,Camarones,15102,29,29,34,29,31,26,26,25,23,27,23,25,24,24,26,22,28,22,23,24,11,21,17,16,12,10,14,14,12,11,11,9,8,12,13,12,11,11,8,8,11,13,13,10,7,5,6
Arica y Parinacota,15,General Lagos,15202,1,1,0,0,1,1,2,1,1,1,2,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0
Arica y Parinacota,15,Putre,15201,5,5,5,5,6,5,5,5,5,4,4,4,4,4,4,5,4,4,4,5,4,3,3,3,2,2,2,2,2,3,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1
Atacama,3,Alto del Carmen,3302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Atacama,3,Caldera,3102,11,10,11,14,14,8,8,8,8,8,8,8,7,8,8,7,8,8,8,7,7,7,7,7,6,6,6,7,7,6,6,6,5,6,7,7,6,6,6,5,6,7,7,6,5,5,5
Atacama,3,Chañaral,3201,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,4,4,3,3,2,3,3,4,4,3,3,3,2,3,3,4,3,3,2,2,3,4,4,3,2,2,2
Atacama,3,Copiapó,3101,6,7,7,6,5,7,7,7,8,8,6,6,8,8,7,7,8,6,6,7,6,6,6,6,5,5,5,6,5,5,6,5,4,6,6,6,5,6,5,4,6,6,5,6,4,4,4
Atacama,3,Diego de Almagro,3202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0
Atacama,3,Freirina,3303,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
Atacama,3,Huasco,3304,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Atacama,3,Tierra Amarilla,3103,5,5,5,3,3,5,6,5,6,6,4,3,6,6,6,6,6,4,4,5,5,5,5,5,3,3,5,5,5,5,5,4,3,4,5,5,5,5,4,3,5,5,5,5,3,3,3
Atacama,3,Vallenar,3301,6,7,6,6,5,6,6,6,6,7,5,5,6,6,6,6,7,5,5,6,6,6,6,6,4,4,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,4,3,3
Aysén del General Carlos Ibáñez del Campo,11,Chile Chico,11401,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11,Cisnes,11202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11,Cochrane,11301,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11,Coihaique,11101,5,5,5,5,4,5,5,5,6,6,4,4,6,6,5,5,6,4,4,5,4,4,4,4,3,2,4,3,3,3,4,3,2,4,4,4,3,3,3,2,4,4,3,4,2,2,2
Aysén del General Carlos Ibáñez del Campo,11,Guaitecas,11203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aysén del General Carlos Ibáñez del Campo,11,Lago Verde,11102,7,6,6,5,5,5,4,4,4,5,3,4,4,4,5,4,5,3,4,4,3,4,2,3,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2,3,0,0,1
Aysén del General Carlos Ibáñez del Campo,11,Río Ibáñez,11402,6,6,6,7,6,5,4,6,5,4,4,5,4,4,4,4,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Aysén del General Carlos Ibáñez del Campo,11,Tortel,11303,4,3,3,3,1,3,2,2,2,1,2,1,2,2,2,1,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Alto Biobío,8314,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Antuco,8302,9,9,8,9,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,8,8,9,9,9,8,8,8
Biobío,8,Arauco,8202,5,5,5,5,3,4,5,5,5,5,4,3,4,5,4,5,5,4,4,4,4,4,3,3,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Biobío,8,Cabrero,8303,6,6,7,7,6,6,5,5,5,6,5,5,5,5,5,5,6,5,4,5,5,4,4,4,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Biobío,8,Cañete,8203,6,6,6,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Biobío,8,Chiguayante,8103,4,4,4,4,3,4,4,4,4,5,4,3,4,4,4,4,5,4,3,4,4,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,1,2,1
Biobío,8,Concepción,8101,11,11,12,9,7,11,11,11,11,12,9,6,12,12,11,11,12,9,6,10,8,7,6,6,4,3,5,5,5,5,5,4,3,5,5,5,5,5,4,3,5,5,5,5,2,3,2
Biobío,8,Contulmo,8204,7,7,7,10,8,5,5,5,5,6,6,5,4,4,4,4,4,5,5,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,4,4,3,3,2,3,3,3,3,3,3,3
Biobío,8,Coronel,8102,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,4,4,4,4,3,2,3,3,3,3,4,3,2,3,4,3,3,3,3,3,4,3,3,3,2,2,2
Biobío,8,Curanilahue,8205,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Biobío,8,Florida,8104,6,6,7,8,8,6,5,5,5,7,7,7,5,5,5,5,7,7,6,5,5,5,4,5,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,2,2,2
Biobío,8,Hualpén,8112,9,9,10,9,8,10,10,10,10,10,9,8,10,10,10,9,10,8,8,8,7,7,7,7,5,5,6,6,6,6,6,5,4,6,6,6,6,6,5,5,7,5,5,5,4,4,4
Biobío,8,Hualqui,8105,5,5,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,6,5,5,4,4,4,4,4,3,3,3,4,4,5,4,3,5,5,5,5,5,4,4,2,5,5,5,2,2,2
Biobío,8,Laja,8304,8,8,8,7,6,8,8,8,9,9,7,6,8,8,8,9,10,8,7,9,8,8,7,7,6,5,7,7,7,7,7,6,6,7,8,8,8,8,7,5,7,7,6,7,6,6,6
Biobío,8,Lebu,8201,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biobío,8,Los Alamos,8206,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Biobío,8,Los Angeles,8301,6,6,6,6,4,6,6,6,6,6,5,4,6,6,5,6,6,5,4,5,5,5,4,4,3,2,4,3,4,4,4,3,2,4,4,4,4,4,3,3,4,4,4,4,2,3,2
Biobío,8,Lota,8106,8,8,8,8,7,8,8,8,8,9,8,7,8,8,8,8,9,8,7,8,7,7,6,6,5,4,5,5,5,5,6,5,4,6,6,6,6,6,6,5,6,6,5,6,4,4,4
Biobío,8,Mulchén,8305,4,4,4,4,3,3,4,3,3,3,3,2,3,3,3,3,3,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
Biobío,8,Nacimiento,8306,3,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,3,4,4,4,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
Biobío,8,Negrete,8307,5,6,6,5,4,5,4,5,5,5,5,4,5,5,5,5,6,5,4,5,5,5,4,5,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Biobío,8,Penco,8107,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,9,10,9,8,9,8,8,8,8,7,5,7,7,7,6,7,6,6,7,7,7,7,7,7,6,7,7,7,7,6,6,5
Biobío,8,Quilaco,8308,2,2,2,3,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,1,1,1
Biobío,8,Quilleco,8309,5,4,5,4,4,4,4,4,4,5,4,3,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,3,3,3,3
Biobío,8,San Pedro de la Paz,8108,7,7,7,6,5,7,7,7,7,7,6,5,7,7,7,7,8,7,5,6,6,5,5,5,4,3,4,4,4,3,3,3,2,3,4,3,3,4,3,3,4,3,3,3,2,2,2
Biobío,8,San Rosendo,8310,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Biobío,8,Santa Bárbara,8311,9,9,8,7,8,8,13,9,10,10,9,7,9,9,8,8,8,8,7,9,9,9,10,10,8,6,8,6,8,9,8,8,7,9,9,8,9,10,9,8,8,9,9,8,6,7,6
Biobío,8,Santa Juana,8109,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,1,2,2
Biobío,8,Talcahuano,8110,9,9,9,8,7,9,9,10,9,10,8,7,9,9,9,10,10,8,7,9,8,8,7,7,5,4,6,6,6,6,6,5,4,6,6,7,6,7,6,5,7,6,6,6,5,5,4
Biobío,8,Tirúa,8207,3,3,3,4,3,2,3,2,3,3,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Biobío,8,Tomé,8111,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,4,4,4,4,3,3,3,3,3,3,4,3,3,4,4,4,4,4,3,3,4,4,3,3,2,2,2
Biobío,8,Tucapel,8312,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4
Biobío,8,Yumbel,8313,5,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,3,3,4,3,3,3,4,3,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3
Coquimbo,4,Andacollo,4103,11,10,10,9,9,9,9,9,10,10,9,8,9,9,9,10,10,9,9,9,9,9,9,9,8,7,9,9,9,8,9,8,7,9,9,9,8,9,8,7,8,9,8,9,7,7,7
Coquimbo,4,Canela,4202,10,10,10,9,8,8,7,7,7,8,7,6,7,7,7,7,8,6,6,7,6,6,5,5,4,3,4,4,4,4,4,3,2,3,4,4,4,4,3,3,3,4,4,4,2,2,2
Coquimbo,4,Combarbalá,4302,3,3,3,3,3,3,3,3,4,5,4,3,4,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3
Coquimbo,4,Coquimbo,4102,9,9,9,8,7,8,8,8,8,8,7,7,8,8,8,8,9,7,7,7,7,7,6,6,5,5,6,6,6,6,6,5,5,6,6,6,6,6,5,5,6,6,6,6,5,5,4
Coquimbo,4,Illapel,4201,7,7,6,6,5,6,6,6,6,6,5,5,6,6,6,6,6,5,4,6,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,4,4,4,4,4
Coquimbo,4,La Higuera,4104,10,10,10,9,9,8,8,8,8,8,8,7,7,8,8,7,8,7,7,7,7,7,6,6,6,5,5,6,6,5,5,4,4,4,6,5,4,5,4,4,5,6,6,5,3,3,3
Coquimbo,4,La Serena,4101,10,10,10,9,7,10,10,10,10,10,8,7,9,10,9,9,10,8,6,8,7,7,6,6,5,4,6,6,6,6,6,5,4,6,6,6,6,6,5,4,6,6,6,6,4,4,4
Coquimbo,4,Los Vilos,4203,6,6,6,6,6,6,5,6,5,5,5,4,5,5,5,5,5,5,4,5,4,4,4,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Coquimbo,4,Monte Patria,4303,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
Coquimbo,4,Ovalle,4301,7,7,8,7,6,8,7,7,7,8,7,6,7,7,7,7,8,6,5,7,6,6,6,6,5,4,6,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,4,3
Coquimbo,4,Paiguano,4105,6,6,6,7,6,4,4,4,4,5,5,4,4,5,4,4,5,5,4,4,3,3,3,3,2,1,2,2,2,3,3,2,2,2,2,2,2,2,2,1,3,2,2,2,1,1,1
Coquimbo,4,Punitaqui,4304,7,6,6,6,6,6,7,7,6,7,6,5,6,6,6,6,7,6,5,6,6,6,6,6,5,5,6,6,6,5,6,5,5,6,6,6,6,6,5,5,6,6,6,6,5,5,5
Coquimbo,4,Río Hurtado,4305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0
Coquimbo,4,Salamanca,4204,4,4,4,3,2,4,4,4,4,4,3,2,3,3,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Coquimbo,4,Vicuña,4106,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
La Araucanía,9,Angol,9201,5,5,5,4,3,5,5,6,5,6,4,3,5,5,5,5,6,5,4,5,4,4,4,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,4,4,4,4,2,2,2
La Araucanía,9,Carahue,9102,7,7,7,9,8,7,7,7,7,7,6,6,7,7,6,6,7,7,6,5,5,5,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,5,4,3,3,3
La Araucanía,9,Cholchol,9121,5,6,5,6,6,2,6,6,5,5,6,5,5,7,5,6,3,4,5,5,5,5,4,4,5,5,5,4,4,5,5,4,4,4,5,5,4,4,4,4,4,4,4,4,3,3,3
La Araucanía,9,Collipulli,9202,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
La Araucanía,9,Cunco,9103,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,5,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
La Araucanía,9,Curacautín,9203,4,4,4,4,4,3,3,3,3,4,4,3,4,3,3,3,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
La Araucanía,9,Curarrehue,9104,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1
La Araucanía,9,Ercilla,9204,12,12,13,12,11,12,11,10,10,11,10,10,10,10,11,11,11,9,8,10,9,9,8,7,6,4,6,6,6,6,6,5,3,5,5,5,5,6,4,3,5,6,6,5,3,3,3
La Araucanía,9,Freire,9105,11,11,12,11,11,10,10,9,9,11,10,9,9,9,9,9,11,9,8,8,7,7,6,6,5,4,5,5,5,5,6,4,3,4,5,5,5,5,4,3,5,5,5,5,3,3,3
La Araucanía,9,Galvarino,9106,3,4,3,3,3,5,5,3,3,4,3,3,3,4,3,3,5,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2
La Araucanía,9,Gorbea,9107,9,10,10,10,9,9,8,8,8,9,8,7,8,8,7,8,9,8,8,8,7,7,6,6,5,4,5,5,5,5,6,4,4,5,5,5,5,5,5,4,5,5,5,5,4,4,4
La Araucanía,9,Lautaro,9108,8,8,8,7,7,8,8,7,7,8,7,5,7,7,7,7,8,7,6,7,6,6,6,6,4,4,5,5,5,5,5,4,3,4,4,5,5,5,4,3,4,5,5,5,3,3,3
La Araucanía,9,Loncoche,9109,5,5,5,5,5,5,4,4,4,5,5,4,5,4,4,5,6,7,6,5,4,4,4,4,3,3,3,3,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,2,3,3
La Araucanía,9,Lonquimay,9205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9,Los Sauces,9206,6,6,7,6,5,5,5,6,5,6,5,4,5,5,5,5,6,5,3,4,5,5,4,4,4,1,4,3,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,2,3,3
La Araucanía,9,Lumaco,9207,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,2,2,2
La Araucanía,9,Melipeuco,9110,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9,Nueva Imperial,9111,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,7,5,5,6,5,5,4,4,3,3,4,3,4,4,4,3,2,4,4,4,3,4,3,3,4,4,4,4,2,2,2
La Araucanía,9,Padre Las Casas,9112,8,8,8,7,6,7,7,8,7,8,7,6,7,7,7,7,8,7,6,7,6,6,6,6,5,4,5,5,5,5,6,5,3,4,4,4,4,5,4,3,4,5,5,5,4,4,3
La Araucanía,9,Perquenco,9113,15,15,16,14,13,14,12,11,12,13,12,10,12,11,11,11,14,11,10,11,10,10,9,9,7,5,6,6,6,6,7,5,3,5,6,6,6,6,5,4,6,6,7,6,3,3,3
La Araucanía,9,Pitrufquén,9114,8,8,9,9,8,8,8,8,8,8,8,7,7,7,7,7,8,7,6,6,5,5,4,5,4,3,4,3,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,2
La Araucanía,9,Pucón,9115,11,11,11,10,8,8,7,7,7,7,7,6,6,6,6,7,7,7,6,6,5,5,5,4,4,3,4,3,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,3
La Araucanía,9,Purén,9208,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2
La Araucanía,9,Renaico,9209,3,4,3,2,2,3,4,4,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
La Araucanía,9,Saavedra,9116,8,8,8,16,15,6,6,7,6,7,8,8,6,6,6,6,7,8,8,7,6,6,6,6,6,5,5,5,6,6,6,5,5,5,6,6,6,6,5,5,6,5,6,6,5,5,5
La Araucanía,9,Temuco,9101,8,8,8,6,5,9,8,9,8,9,6,5,8,8,8,8,8,6,5,7,6,6,5,5,3,3,4,4,4,4,5,4,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
La Araucanía,9,Teodoro Schmidt,9117,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2
La Araucanía,9,Toltén,9118,2,2,2,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
La Araucanía,9,Traiguén,9210,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,3,3,1,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
La Araucanía,9,Victoria,9211,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,3,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2
La Araucanía,9,Vilcún,9119,6,6,6,5,5,6,5,6,6,6,5,4,6,5,5,6,6,5,5,5,5,5,5,5,4,3,4,4,4,4,4,3,2,3,4,4,4,4,3,3,4,4,4,4,3,3,3
La Araucanía,9,Villarrica,9120,8,8,8,8,7,7,7,7,7,7,6,5,7,6,6,7,7,6,5,6,5,5,5,5,4,3,4,4,4,4,4,3,3,4,4,4,4,5,4,3,5,4,4,5,3,3,3
Libertador General Bernardo O'Higgins,6,Chimbarongo,6303,7,7,7,7,6,7,7,6,6,7,6,5,6,6,7,7,8,7,6,6,5,6,5,5,4,3,4,4,4,5,4,4,3,4,4,4,4,5,4,3,5,4,4,5,3,3,3
Libertador General Bernardo O'Higgins,6,Chépica,6302,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,7,6,5,6,6,6,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,4,4
Libertador General Bernardo O'Higgins,6,Codegua,6102,7,7,7,7,6,7,7,7,7,7,6,6,7,7,7,7,8,7,6,7,7,6,6,6,5,4,5,5,5,5,6,4,3,5,5,6,5,5,5,4,5,5,5,5,4,4,4
Libertador General Bernardo O'Higgins,6,Coinco,6103,12,12,12,13,13,12,12,12,12,12,13,12,12,12,12,13,13,14,13,13,13,13,13,13,12,12,13,13,13,13,13,13,12,13,13,14,13,14,13,13,13,13,13,13,12,13,13
Libertador General Bernardo O'Higgins,6,Coltauco,6104,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,4,4,3,4,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2
Libertador General Bernardo O'Higgins,6,Doñihue,6105,6,6,6,6,6,6,6,7,7,7,6,6,6,7,6,7,7,7,6,6,6,6,6,6,5,4,5,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6,6,4,5,4
Libertador General Bernardo O'Higgins,6,Graneros,6106,8,8,8,8,7,8,7,7,8,8,7,6,7,7,7,8,9,8,7,8,7,7,7,7,6,4,6,6,6,6,6,5,4,6,6,7,6,6,6,5,6,6,6,6,4,4,4
