Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,Tasa
Valparaíso,5.0,Quillota,5501.0,97572.0,6,7,9,9,13,13,16,16.4
Valparaíso,5.0,Quilpue,5801.0,167085.0,11,10,11,12,15,18,20,12.0
Valparaíso,5.0,Quintero,5107.0,36135.0,-,-,-,-,-,4,5,13.8
Valparaíso,5.0,Rinconada,5303.0,11263.0,-,-,-,-,-,-,2,17.8
Valparaíso,5.0,San Antonio,5601.0,96761.0,-,4,8,9,9,13,17,17.6
Valparaíso,5.0,San Esteban,5304.0,20643.0,-,-,-,-,-,-,-,0.0
Valparaíso,5.0,San Felipe,5701.0,83494.0,-,-,5,5,6,6,6,7.2
Valparaíso,5.0,Santa Maria,5706.0,16367.0,-,-,-,-,-,-,2,12.2
Valparaíso,5.0,Santo Domingo,5606.0,11934.0,,-,-,-,5,5,5,41.9
Valparaíso,5.0,Valparaiso,5101.0,315732.0,16,26,23,26,36,39,44,13.9
Valparaíso,5.0,Villa Alemana,5804.0,139310.0,6,8,11,11,12,12,12,8.6
Valparaíso,5.0,Vina del Mar,5109.0,361371.0,29,38,47,53,66,69,72,19.9
Valparaíso,5.0,Zapallar,5405.0,7994.0,-,0,-,-,-,-,-,0.0
Metropolitana,13.0,Alhue,13502.0,7405.0,-,-,-,-,-,-,-,0.0
Metropolitana,13.0,Buin,13402.0,109641.0,7,8,14,20,20,29,36,32.8
Metropolitana,13.0,Calera de Tango,13403.0,28525.0,6,7,7,7,8,8,10,35.1
Metropolitana,13.0,Cerrillos,13102.0,88956.0,-,4,4,5,11,21,29,32.6
Metropolitana,13.0,Cerro Navia,13103.0,142465.0,19,21,26,31,36,42,57,40.0
Metropolitana,13.0,Colina,13301.0,180353.0,32,39,47,50,62,66,74,41.0
Metropolitana,13.0,Conchali,13104.0,139195.0,14,18,22,32,38,47,52,37.4
Metropolitana,13.0,Curacavi,13503.0,36430.0,5,5,5,8,9,10,13,35.7
Metropolitana,13.0,El Bosque,13105.0,172000.0,18,28,35,37,46,64,83,48.3
Metropolitana,13.0,El Monte,13602.0,40014.0,-,-,-,5,7,9,10,25.0
Metropolitana,13.0,Estacion Central,13106.0,206792.0,16,22,25,36,41,61,71,34.3
Metropolitana,13.0,Huechuraba,13107.0,112528.0,17,19,22,32,35,38,48,42.7
Metropolitana,13.0,Independencia,13108.0,142065.0,15,17,22,26,31,37,52,36.6
Metropolitana,13.0,Isla de Maipo,13603.0,40171.0,-,-,-,4,7,10,10,24.9
Metropolitana,13.0,La Cisterna,13109.0,100434.0,10,12,12,20,26,34,39,38.8
Metropolitana,13.0,La Florida,13110.0,402433.0,43,58,67,91,103,126,165,41.0
Metropolitana,13.0,La Granja,13111.0,122557.0,5,8,16,24,26,36,46,37.5
Metropolitana,13.0,La Pintana,13112.0,189335.0,-,10,13,18,25,39,55,29.0
Metropolitana,13.0,La Reina,13113.0,100252.0,24,26,30,35,44,52,54,53.9
Metropolitana,13.0,Lampa,13302.0,126898.0,10,10,13,14,18,26,37,29.2
Metropolitana,13.0,Las Condes,13114.0,330759.0,181,208,224,258,266,281,296,89.5
Metropolitana,13.0,Lo Barnechea,13115.0,124076.0,68,78,85,97,105,110,116,93.5
Metropolitana,13.0,Lo Espejo,13116.0,103865.0,4,7,9,15,23,34,48,46.2
Metropolitana,13.0,Lo Prado,13117.0,104403.0,14,18,20,25,32,35,43,41.2
Metropolitana,13.0,Macul,13118.0,134635.0,10,15,23,34,37,43,49,36.4
Metropolitana,13.0,Maipu,13119.0,578605.0,43,55,64,83,106,167,203,35.1
Metropolitana,13.0,Maria Pinto,13504.0,14926.0,-,-,-,-,-,-,-,0.0
Metropolitana,13.0,Melipilla,13501.0,141612.0,6,8,9,11,12,16,17,12.0
Metropolitana,13.0,Nunoa,13120.0,250192.0,67,84,93,107,118,155,171,68.3
Metropolitana,13.0,Padre Hurtado,13604.0,74188.0,10,11,14,16,18,20,26,35.0
Metropolitana,13.0,Paine,13404.0,82766.0,-,-,-,-,-,7,8,9.7
Metropolitana,13.0,Pedro Aguirre Cerda,13121.0,107803.0,7,13,13,16,19,36,54,50.1
Metropolitana,13.0,Penaflor,13605.0,101058.0,10,13,13,18,18,20,25,24.7
Metropolitana,13.0,Penalolen,13122.0,266798.0,31,46,54,65,78,98,131,49.1
Metropolitana,13.0,Pirque,13202.0,30433.0,-,-,-,4,4,9,10,32.9
Metropolitana,13.0,Providencia,13123.0,157749.0,82,87,94,104,115,129,136,86.2
Metropolitana,13.0,Pudahuel,13124.0,253139.0,17,25,32,44,52,67,78,30.8
Metropolitana,13.0,Puente Alto,13201.0,645909.0,45,58,76,119,166,239,322,49.9
Metropolitana,13.0,Quilicura,13125.0,254694.0,17,29,33,51,57,79,94,36.9
Metropolitana,13.0,Quinta Normal,13126.0,136368.0,21,25,35,41,57,69,84,61.6
Metropolitana,13.0,Recoleta,13127.0,190075.0,17,23,32,44,52,61,73,38.4
Metropolitana,13.0,Renca,13128.0,160847.0,9,14,18,19,22,28,42,26.1
Metropolitana,13.0,San Bernardo,13401.0,334836.0,32,41,53,74,79,117,140,41.8
Metropolitana,13.0,San Joaquin,13129.0,103485.0,13,24,28,36,42,52,58,56.0
Metropolitana,13.0,San Jose de Maipo,13203.0,18644.0,-,-,-,-,-,4,4,21.5
Metropolitana,13.0,San Miguel,13130.0,133059.0,25,32,39,49,56,69,86,64.6
Metropolitana,13.0,San Pedro,13505.0,11953.0,-,-,-,-,-,-,-,0.0
Metropolitana,13.0,San Ramon,13131.0,86510.0,-,6,9,9,12,18,20,23.1
Metropolitana,13.0,Santiago,13101.0,503147.0,127,156,173,234,271,321,375,74.5
Metropolitana,13.0,Talagante,13601.0,81838.0,-,5,6,11,14,18,21,25.7
Metropolitana,13.0,Tiltil,13303.0,21477.0,-,-,-,-,4,4,4,18.6
Metropolitana,13.0,Vitacura,13132.0,96774.0,83,90,100,114,114,119,127,131.2
O’Higgins,6.0,Chepica,6302.0,15925.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Chimbarongo,6303.0,37696.0,-,-,-,-,-,-,2,5.3
O’Higgins,6.0,Codegua,6102.0,14096.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Coinco,6103.0,7831.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Coltauco,6104.0,21263.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Donihue,6105.0,22700.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Graneros,6106.0,36504.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,La Estrella,6202.0,3114.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Las Cabras,6107.0,26749.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Litueche,6203.0,6765.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Lolol,6304.0,7289.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Machali,6108.0,59913.0,-,6,7,8,8,8,8,13.4
O’Higgins,6.0,Malloa,6109.0,14163.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Marchihue,6204.0,7632.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Mostazal,6110.0,27462.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Nancagua,6305.0,19141.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Navidad,6205.0,6904.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Olivar,6111.0,14624.0,-,-,-,-,-,-,6,41.0
O’Higgins,6.0,Palmilla,6306.0,13299.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Paredones,6206.0,6349.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Peralillo,6307.0,11848.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Peumo,6112.0,14952.0,-,-,-,-,-,-,1,6.7
O’Higgins,6.0,Pichidegua,6113.0,20743.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Pichilemu,6201.0,17882.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Placilla,6308.0,9164.0,-,-,-,-,-,-,1,10.9
O’Higgins,6.0,Pumanque,6309.0,3531.0,-,-,-,-,-,-,-,0.0
O’Higgins,6.0,Quinta de Tilcoco,6114.0,13877.0,-,-,-,-,-,-,3,21.6
O’Higgins,6.0,Rancagua,6101.0,265211.0,7,7,9,15,15,15,15,5.7
O’Higgins,6.0,Rengo,6115.0,63710.0,-,-,-,-,-,-,1,1.6
O’Higgins,6.0,Requinoa,6116.0,30371.0,-,-,-,-,-,-,1,3.3
O’Higgins,6.0,San Fernando,6301.0,78642.0,-,4,4,4,4,4,4,5.1
O’Higgins,6.0,San Vicente,6117.0,50617.0,-,-,4,4,4,4,4,7.9
