Sintomas,fecha,numero
Mialgia,2020-04-10,422
Cefalea,2020-04-10,346
Odinofagia,2020-04-10,279
Disnea,2020-04-10,342
Diarrea,2020-04-10,95
Dolor torácico,2020-04-10,97
Taquipnea,2020-04-10,121
Dolor abdominal,2020-04-10,50
Cianosis,2020-04-10,15
Postración,2020-04-10,
Congestión nasal,2020-04-10,
Tos,2020-04-11,674
Fiebre,2020-04-11,648
Mialgia,2020-04-11,456
Cefalea,2020-04-11,374
Odinofagia,2020-04-11,307
Disnea,2020-04-11,358
Diarrea,2020-04-11,105
Dolor torácico,2020-04-11,103
Taquipnea,2020-04-11,125
Dolor abdominal,2020-04-11,52
Cianosis,2020-04-11,16
Postración,2020-04-11,
Congestión nasal,2020-04-11,
Tos,2020-04-12,684
Fiebre,2020-04-12,657
Mialgia,2020-04-12,462
Cefalea,2020-04-12,380
Odinofagia,2020-04-12,311
Disnea,2020-04-12,365
Diarrea,2020-04-12,108
Dolor torácico,2020-04-12,105
Taquipnea,2020-04-12,126
Dolor abdominal,2020-04-12,53
Cianosis,2020-04-12,16
Postración,2020-04-12,
Congestión nasal,2020-04-12,
